mean_x,mean_y,p_periodic,particle,score,sd_periodic_x,sd_periodic_y,sd_vec_x,sd_vec_y,seq_id,tpt,true_x,true_y,component_weight,is_periodic
,,,1,,,,,,triangle_1,0,0.0,0.0,,
0.0,0.0,0.8186603493685674,1,0.3954915961472601,0.2331109547114497,0.4801082462458192,0.610875613750625,0.0088910381338323,triangle_1,1,1.0,0.0,0.8186603493685674,1
0.0,0.0,0.8186603493685674,1,0.3954915961472601,0.2331109547114497,0.4801082462458192,0.610875613750625,0.0088910381338323,triangle_1,1,1.0,0.0,0.18133965063143265,0
0.0,0.0,0.2493114740166167,1,-4.643097761464406,1.0588220887643698,0.9054362120758948,0.9833820830646532,0.0726157699835999,triangle_1,2,0.5000000000000002,0.8660254037844387,0.12465573700830838,1
1.0,0.0,0.2493114740166167,1,-4.643097761464406,1.0588220887643698,0.9054362120758948,0.9833820830646532,0.0726157699835999,triangle_1,2,0.5000000000000002,0.8660254037844387,0.12465573700830838,1
2.0,0.0,0.2493114740166167,1,-4.643097761464406,1.0588220887643698,0.9054362120758948,0.9833820830646532,0.0726157699835999,triangle_1,2,0.5000000000000002,0.8660254037844387,0.7506885259833832,0
0.0,0.0,0.8152951071533728,1,-2.884696040840412,0.9861101019006984,1.1646359744387844,0.4457430519480007,0.0005736932625237,triangle_1,3,-2.220446049250313e-16,3.3306690738754696e-16,0.2717650357177909,1
1.0,0.0,0.8152951071533728,1,-2.884696040840412,0.9861101019006984,1.1646359744387844,0.4457430519480007,0.0005736932625237,triangle_1,3,-2.220446049250313e-16,3.3306690738754696e-16,0.2717650357177909,1
0.5000000000000002,0.8660254037844387,0.8152951071533728,1,-2.884696040840412,0.9861101019006984,1.1646359744387844,0.4457430519480007,0.0005736932625237,triangle_1,3,-2.220446049250313e-16,3.3306690738754696e-16,0.2717650357177909,1
0.7500000000000003,1.299038105676658,0.8152951071533728,1,-2.884696040840412,0.9861101019006984,1.1646359744387844,0.4457430519480007,0.0005736932625237,triangle_1,3,-2.220446049250313e-16,3.3306690738754696e-16,0.18470489284662717,0
0.0,0.0,0.705975651365192,1,4.7453961357227,0.9107231893214208,0.0005272224971211,0.0241283145429939,0.6230021703591426,triangle_1,4,0.9999999999999998,8.813754755807632e-17,0.23532521712173066,1
1.0,0.0,0.705975651365192,1,4.7453961357227,0.9107231893214208,0.0005272224971211,0.0241283145429939,0.6230021703591426,triangle_1,4,0.9999999999999998,8.813754755807632e-17,0.23532521712173066,1
0.5000000000000002,0.8660254037844387,0.705975651365192,1,4.7453961357227,0.9107231893214208,0.0005272224971211,0.0241283145429939,0.6230021703591426,triangle_1,4,0.9999999999999998,8.813754755807632e-17,0.23532521712173066,1
-0.5000000000000003,4.996003610813204e-16,0.705975651365192,1,4.7453961357227,0.9107231893214208,0.0005272224971211,0.0241283145429939,0.6230021703591426,triangle_1,4,0.9999999999999998,8.813754755807632e-17,0.294024348634808,0
0.0,0.0,0.8211164883264171,1,14.458294060650193,0.000910351402191,0.0005272224971211,1.0439441895572514,1.5843668360140104,triangle_1,5,0.5000000000000006,0.8660254037844393,0.2737054961088057,1
1.0,0.0,0.8211164883264171,1,14.458294060650193,0.000910351402191,0.0005272224971211,1.0439441895572514,1.5843668360140104,triangle_1,5,0.5000000000000006,0.8660254037844393,0.2737054961088057,1
0.5000000000000002,0.8660254037844387,0.8211164883264171,1,14.458294060650193,0.000910351402191,0.0005272224971211,1.0439441895572514,1.5843668360140104,triangle_1,5,0.5000000000000006,0.8660254037844393,0.2737054961088057,1
1.2499999999999996,-0.4330127018922192,0.8211164883264171,1,14.458294060650193,0.000910351402191,0.0005272224971211,1.0439441895572514,1.5843668360140104,triangle_1,5,0.5000000000000006,0.8660254037844393,0.17888351167358285,0
0.0,0.0,0.5716284026837849,1,27.909868204059517,0.000910351402191,0.0005272224971211,0.8913089394646301,0.6076160494924926,triangle_1,6,-7.771561172376097e-16,1.4432899320127037e-15,0.19054280089459497,1
1.0,0.0,0.5716284026837849,1,27.909868204059517,0.000910351402191,0.0005272224971211,0.8913089394646301,0.6076160494924926,triangle_1,6,-7.771561172376097e-16,1.4432899320127037e-15,0.19054280089459497,1
0.5000000000000002,0.8660254037844387,0.5716284026837849,1,27.909868204059517,0.000910351402191,0.0005272224971211,0.8913089394646301,0.6076160494924926,triangle_1,6,-7.771561172376097e-16,1.4432899320127037e-15,0.19054280089459497,1
0.7500000000000009,1.2990381056766587,0.5716284026837849,1,27.909868204059517,0.000910351402191,0.0005272224971211,0.8913089394646301,0.6076160494924926,triangle_1,6,-7.771561172376097e-16,1.4432899320127037e-15,0.4283715973162151,0
0.0,0.0,0.6661248992639732,1,38.40586244761153,0.000910351402191,0.0005272224971211,0.9060647726944718,0.7183187009555212,triangle_1,7,0.9999999999999992,-8.229256270464883e-16,0.22204163308799107,1
1.0,0.0,0.6661248992639732,1,38.40586244761153,0.000910351402191,0.0005272224971211,0.9060647726944718,0.7183187009555212,triangle_1,7,0.9999999999999992,-8.229256270464883e-16,0.22204163308799107,1
0.5000000000000002,0.8660254037844387,0.6661248992639732,1,38.40586244761153,0.000910351402191,0.0005272224971211,0.9060647726944718,0.7183187009555212,triangle_1,7,0.9999999999999992,-8.229256270464883e-16,0.22204163308799107,1
-0.500000000000001,2.1094237467877974e-15,0.6661248992639732,1,38.40586244761153,0.000910351402191,0.0005272224971211,0.9060647726944718,0.7183187009555212,triangle_1,7,0.9999999999999992,-8.229256270464883e-16,0.3338751007360268,0
