p_lapse,sd_motor,sd_prev,p_rand,p_prev,LL,phase,subj,func.name,model,agent
0.6059200920095046,0.015842092233649963,0.056255987447189265,0.049551264126654344,0.5563688278828502,759.8552504566943,train,2JPQEH,123,gpnc,kids
0.9407434554049927,0.01998773515857497,0.04426397610504236,0.0,0.9407434554049927,39.17979248077684,test,2JPQEH,123,gpnc,kids
0.6373764205502941,0.015757702928853357,0.053571897844109685,0.041439725511265235,0.5959366950390289,772.4301890143358,train,2JPQEH,3_pts,gpnc,kids
0.41940293170764154,0.012028006520760602,0.11863604056916797,0.20697331264802768,0.21242961905961386,31.60040829879879,test,2JPQEH,3_pts,gpnc,kids
0.6327149548131856,0.015497927075675447,0.05553525466158418,0.047351048994719286,0.5853639058184663,755.8430552518334,train,2JPQEH,alternating_diff_1,gpnc,kids
0.3571233314945716,0.01588185461534307,0.05442768366858805,0.05930512329905144,0.2978182081955202,39.25112233581633,test,2JPQEH,alternating_diff_1,gpnc,kids
0.6245971813537623,0.015508266874784687,0.054764601579763886,0.04528077891068267,0.5793164024430797,763.7650966662343,train,2JPQEH,alternating_diff_2,gpnc,kids
0.41754506866690083,0.025555273119329855,0.10796573461844151,0.0,0.41754506866690083,32.751506589431955,test,2JPQEH,alternating_diff_2,gpnc,kids
0.6198319525427101,0.01540050339173568,0.05568655090196391,0.04378094148294077,0.5760510110597693,767.1305774871421,train,2JPQEH,decreasing_y,gpnc,kids
0.7294425415232119,0.034187932165674735,0.05439910261240117,0.07495950276265669,0.6544830387605551,28.87474815072284,test,2JPQEH,decreasing_y,gpnc,kids
0.6002708195283439,0.015673990391724582,0.05630050570015245,0.0474880730359591,0.5527827464923849,766.319116205369,train,2JPQEH,f_curly_2,gpnc,kids
0.9011093305933566,0.10081196507434562,0.04411821039365927,0.0,0.9011093305933566,35.893373506883215,test,2JPQEH,f_curly_2,gpnc,kids
0.6300601719821309,0.016655595471015097,0.05387283440185314,0.05325951295025335,0.5768006590318776,755.5039975918221,train,2JPQEH,hexagon,gpnc,kids
0.43721512233424564,0.010282931247268045,0.05549839578507681,0.0,0.43721512233424564,41.335582934695985,test,2JPQEH,hexagon,gpnc,kids
0.6656697201562173,0.014034521126955399,0.053890280923384826,0.05250255226886578,0.6131671678873515,758.6169684002614,train,2JPQEH,hourglass_1,gpnc,kids
0.24559058152419405,0.0171822794438126,0.021729591150307682,0.06591740839864589,0.17967317312554817,42.41473076183198,test,2JPQEH,hourglass_1,gpnc,kids
0.609900947552201,0.01623923859494199,0.052400051999440714,0.052002044398841075,0.55789890315336,768.0459111022054,train,2JPQEH,increasing_lines,gpnc,kids
0.7166753643222505,0.1366081210201521,0.04156532433622867,0.0,0.7166753643222505,28.952856192198944,test,2JPQEH,increasing_lines,gpnc,kids
0.643667802171612,0.014141735002429219,0.053108162208746215,0.0563298725991758,0.5873379295724362,755.4774486751646,train,2JPQEH,line,gpnc,kids
0.0,0.02776324921862067,0.10995034477014853,0.0,0.0,49.622629892709654,test,2JPQEH,line,gpnc,kids
0.6172483246161462,0.015832714831653025,0.056852695901308724,0.04599620482205894,0.5712521197940872,763.0425906493165,train,2JPQEH,plus,gpnc,kids
0.7073151244863342,0.08017889865601001,0.03181340744930883,0.0,0.7073151244863342,33.82586842098551,test,2JPQEH,plus,gpnc,kids
0.597889253877282,0.015885841862663973,0.05656669653700494,0.04731162435668615,0.5505776295205957,764.7066641441938,train,2JPQEH,radial_1,gpnc,kids
0.9121582843890294,0.010345206335857718,0.03676338997330663,0.05760699529076786,0.8545512890982615,35.423680735271326,test,2JPQEH,radial_1,gpnc,kids
0.6289060040881955,0.016082756737043076,0.057570461107267074,0.04654291888842956,0.582363085199766,744.2111042583899,train,2JPQEH,radial_increasing,gpnc,kids
0.6503879392514681,1e-05,0.01589010370593043,0.0,0.6503879392514681,62.401218013251864,test,2JPQEH,radial_increasing,gpnc,kids
0.6116028638937555,0.01602677418243513,0.057137099587827055,0.04768105278848223,0.5639218111052733,753.0451145075203,train,2JPQEH,sine,gpnc,kids
0.8608890440864004,0.006782465832296277,0.03679609419703453,0.0,0.8608890440864004,46.273295574485594,test,2JPQEH,sine,gpnc,kids
0.6137282389063161,0.01582661908895266,0.05586627041752262,0.050333014359201955,0.5633952245471142,755.9899058823888,train,2JPQEH,spiral_outward,gpnc,kids
0.7523677473301518,0.03276372608357651,0.04434437129197852,0.0,0.7523677473301518,40.134755542669744,test,2JPQEH,spiral_outward,gpnc,kids
0.6203630124230701,0.016387115763796683,0.05423847175889423,0.04313403100029254,0.5772289814227777,778.99276755245,train,2JPQEH,square_2,gpnc,kids
0.40918002692785926,0.12037055154454578,0.010523706320952776,0.0,0.40918002692785926,26.006325830963654,test,2JPQEH,square_2,gpnc,kids
0.6132348536085106,0.015631996601752463,0.05528449735085874,0.04607743642454188,0.5671574171839687,769.7420702505428,train,2JPQEH,square_spiral,gpnc,kids
0.4504988442199955,0.09289545826206479,0.022839513775359765,0.0,0.4504988442199955,28.196404032986248,test,2JPQEH,square_spiral,gpnc,kids
0.6049330143940128,0.015005008049998351,0.05519926649300938,0.05167653028068602,0.5532564841133268,763.7650305022091,train,2JPQEH,stairs,gpnc,kids
0.99,0.09652466327452408,0.050032289437872246,0.0,0.99,37.6113644040168,test,2JPQEH,stairs,gpnc,kids
0.6246313210027715,0.015602029663303544,0.05584616436385854,0.04051251818172671,0.5841188028210448,767.4365753830398,train,2JPQEH,stairs_2,gpnc,kids
