"","func.type","tpt","subj","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_lin","prob_prev","group"
"1","3_pts",3,"ghv2usqbzg","ghv2usqbzg",0.706887723435949,0.39238352366766,0.402922597226616,0.375,0.0336162850054674,6.51916657404454e-12,0.0170077982684978,0.949484553378352,0.0335076483466313,"kids"
"2","3_pts",4,"ghv2usqbzg","ghv2usqbzg",0.331184313968885,0.384108118172791,0.500000000000001,0.375,0.0336162850054674,0.000198803407850863,0.0363955300379107,0.00503438725901018,0.958371279295228,"kids"
"3","3_pts",5,"ghv2usqbzg","ghv2usqbzg",0.596824830354188,0.377487793776896,0.597077402773385,0.375,0.0336162850054674,0.782852476400652,0.00200217451873317,0.203094110092311,0.0120512389883038,"kids"
"4","3_pts",6,"ghv2usqbzg","ghv2usqbzg",0.509105532108574,0.385763199271765,0.402922597226616,0.375,0.0336162850054674,0.230179684835105,0.0906995054536045,7.69572143848219e-06,0.679113113989852,"kids"
"5","3_pts",7,"ghv2usqbzg","ghv2usqbzg",0.512415694306522,0.370039928831513,0.500000000000001,0.375,0.0336162850054674,0.990571056849616,0.00310606718880654,5.14458568787267e-13,0.00632287596106313,"kids"
"6","3_pts",8,"ghv2usqbzg","ghv2usqbzg",0.417248531115525,0.368384847732539,0.597077402773385,0.375,0.0336162850054674,9.83840618323956e-05,0.0764384208095015,1.72659848738916e-05,0.923445929143792,"kids"
"7","3_pts",9,"ghv2usqbzg","ghv2usqbzg",0.506622910460113,0.378315334326382,0.402922597226616,0.375,0.0336162850054674,0.30083836844443,0.0945831750510188,5.89072601372431e-06,0.604572565778538,"kids"
"8","3_pts",10,"ghv2usqbzg","ghv2usqbzg",0.512415694306522,0.379970415425356,0.500000000000001,0.375,0.0336162850054674,0.990570913974909,0.00310621136584203,5.14458540817643e-13,0.00632287465873439,"kids"
"9","3_pts",11,"ghv2usqbzg","ghv2usqbzg",0.417248531115525,0.380797955974843,0.597077402773385,0.375,0.0336162850054674,9.83968841989115e-05,0.076108836647445,1.72683069847112e-05,0.923775498161371,"kids"
"10","3_pts",12,"ghv2usqbzg","ghv2usqbzg",0.501657667163192,0.384108118172791,0.402922597226616,0.375,0.0336162850054674,0.464126116758416,0.105466034489297,3.27669928595174e-06,0.430404572053001,"kids"
"11","3_pts",13,"ghv2usqbzg","ghv2usqbzg",0.5074504510096,0.379142874875869,0.500000000000001,0.375,0.0336162850054674,0.987893586598772,0.00294658894592327,9.85464086374932e-13,0.00915982445431954,"kids"
"12","3_pts",14,"ghv2usqbzg","ghv2usqbzg",0.609237938596491,0.369212388282026,0.597077402773385,0.375,0.0336162850054674,0.788331808475528,0.00218793303818978,0.204742411711292,0.00473784677499116,"kids"
