"","func.type","tpt","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_lin","prob_prev","group","guess_num"
"1","3_pts",3,"YBQKBJ",0.542670548838312,0.389217342342342,0.402922597226616,0.375,0.0328926924443705,0.00717159428931155,0.0043900921292433,7.76066601049131e-05,0.98836070692134,"kids_chs",1
"2","3_pts",4,"YBQKBJ",0.508294067093409,0.401071301564723,0.5,0.375,0.0328926924443705,0.997837650807997,0.000396941980466159,9.6093242492927e-18,0.00176540721153686,"kids_chs",2
"3","3_pts",5,"YBQKBJ",0.584159406116643,0.356026256519678,0.597077402773384,0.375,0.0328926924443705,0.86051562401185,0.000251416534227958,0.131210359970972,0.00802259948294924,"kids_chs",3
"4","3_pts",6,"YBQKBJ",0.513035650782361,0.3785487790422,0.402922597226616,0.375,0.0328926924443705,0.397259686223039,0.0165603625538982,3.50699620137645e-06,0.586176444226861,"kids_chs",4
"5","3_pts",7,"YBQKBJ",0.609052720483641,0.376177987197724,0.5,0.375,0.0328926924443705,0.938097603640843,0.061902113556573,5.76691161428594e-27,2.82802583864815e-07,"kids_chs",5
"6","3_pts",8,"YBQKBJ",0.61616509601707,0.380919570886676,0.597077402773384,0.375,0.0328926924443705,0.866337339261924,0.000240245336753184,0.132930570579461,0.000491844821861434,"kids_chs",6
"7","3_pts",9,"YBQKBJ",0.39331066263632,0.3785487790422,0.402922597226616,0.375,0.0328926924443705,0.999702957830303,0.000297038910885804,7.2706343979563e-18,3.258810978486e-09,"kids_chs",7
"8","3_pts",10,"YBQKBJ",0.586530197961119,0.364324027975344,0.5,0.375,0.0328926924443705,0.990513420559246,0.00948448777884879,6.17043529090325e-25,2.09166190540804e-06,"kids_chs",8
"9","3_pts",11,"YBQKBJ",0.599569553105737,0.369065611664296,0.597077402773384,0.375,0.0328926924443705,0.865134066839608,0.000203015848414666,0.132573499797568,0.00208941751440882,"kids_chs",9
"10","3_pts",12,"YBQKBJ",0.400423038169749,0.376177987197724,0.402922597226616,0.375,0.0328926924443705,0.999715984692778,0.000284004882283808,3.46506875905558e-17,1.04249382157726e-08,"kids_chs",10
"11","3_pts",13,"YBQKBJ",0.591271781650071,0.36669481981982,0.5,0.375,0.0328926924443705,0.986364309369805,0.0136343034990451,2.30795787499185e-25,1.38713115003052e-06,"kids_chs",11
"12","3_pts",14,"YBQKBJ",0.569934655049787,0.30623962778568,0.597077402773384,0.375,0.0328926924443705,0.8439070133398,0.00241862085563221,0.126417555797197,0.0272568100073712,"kids_chs",12
"13","alternating_diff_1",3,"YBQKBJ",0.316259927690849,0.408183677098151,0.281837130231287,0.34738444686472,0.0328926924443705,0.00127941872605597,0.000922698409077918,0.472448358443532,0.525349524421334,"kids_chs",1
"14","alternating_diff_1",4,"YBQKBJ",0.280698050023708,0.30031264817449,0.339829791815376,0.34738444686472,0.0328926924443705,0.000975426206160109,0.00101754711599082,0.635653584689957,0.362353441987892,"kids_chs",2
"15","alternating_diff_1",5,"YBQKBJ",0.383827495258416,0.341801505452821,0.339829791815376,0.405377108448808,0.0328926924443705,0.000852369146859342,0.00100332073200795,0.597563393974975,0.400580916146158,"kids_chs",3
"16","alternating_diff_1",6,"YBQKBJ",0.309147552157421,0.471009660976766,0.397822453399464,0.405377108448808,0.0328926924443705,0.000104564562852737,0.00199255696161814,0.821328030012127,0.176574848463402,"kids_chs",4
"17","alternating_diff_1",7,"YBQKBJ",0.424130956614509,0.404627489331437,0.397822453399464,0.34738444686472,0.0328926924443705,0.00183163963935938,0.000878714817622493,0.368004642047835,0.629285003495183,"kids_chs",5
"18","alternating_diff_1",8,"YBQKBJ",0.389754474869607,0.312166607396871,0.455815114983552,0.34738444686472,0.0328926924443705,0.000953989756710184,0.00095273301528237,0.483069729242166,0.515023547985842,"kids_chs",6
"19","alternating_diff_1",9,"YBQKBJ",0.484586148648649,0.338245317686107,0.455815114983552,0.405377108448808,0.0328926924443705,0.0010432637149952,0.000924806127271607,0.399139136603591,0.598892793554142,"kids_chs",7
"20","alternating_diff_1",10,"YBQKBJ",0.45376585467046,0.454414118065434,0.513807776567641,0.405377108448808,0.0328926924443705,0.000871836466832952,0.00103885149814911,0.659242978579759,0.338846333455259,"kids_chs",8
"21","alternating_diff_1",11,"YBQKBJ",0.562822279516359,0.391588134186819,0.513807776567641,0.34738444686472,0.0328926924443705,0.00198616002193838,0.00113051711210828,0.65819762147384,0.338685701392113,"kids_chs",9
"22","alternating_diff_1",12,"YBQKBJ",0.504737879326695,0.322835170697013,0.571800438151729,0.34738444686472,0.0328926924443705,0.00113497841751988,0.0009063782540053,0.346807552346507,0.651151090981968,"kids_chs",10
"23","alternating_diff_1",13,"YBQKBJ",0.605496532716928,0.338245317686107,0.571800438151729,0.405377108448808,0.0328926924443705,0.000935954899911402,0.000951462927189972,0.463027399324628,0.535085182848271,"kids_chs",11
"24","alternating_diff_1",14,"YBQKBJ",0.574676238738739,0.460341097676624,0.629793099735818,0.405377108448808,0.0328926924443705,0.000913730539915168,0.00111112550507437,0.725108001867025,0.272867142087985,"kids_chs",12
"25","alternating_diff_2",3,"YBQKBJ",0.30322057254623,0.415296052631579,0.297025684455691,0.330815114983552,0.0328926924443705,0.00116745238594111,0.00114118689886337,0.53722132881732,0.460470031897875,"kids_chs",1
"26","alternating_diff_2",4,"YBQKBJ",0.325743095068753,0.262379978662873,0.326022015247735,0.38880777656764,0.0328926924443705,2.91148488012584e-05,0.00142754354533361,0.885289162826083,0.113254178779782,"kids_chs",2
