"","func.type","tpt","subj","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_lin","prob_prev","group"
"1","3_pts",3,"p4j9zv8tlc","p4j9zv8tlc",0.66313221898071,0.370828619909503,0.402922597226616,0.375,0.0130051691180618,5.88183361311323e-55,0.0306514582521814,0.969340588406654,7.95334116452351e-06,"adults"
"2","3_pts",4,"p4j9zv8tlc","p4j9zv8tlc",0.405928122767326,0.448228000714456,0.500000000000001,0.375,0.0130051691180618,7.04799300674957e-11,0.999934993141979,2.58632769205798e-35,6.50067875412665e-05,"adults"
"3","3_pts",5,"p4j9zv8tlc","p4j9zv8tlc",0.597640435222672,0.374400899023577,0.597077402773385,0.375,0.0130051691180618,0.809699386205957,0.000282863715259054,0.190017750074615,4.16884076887148e-12,"adults"
"4","3_pts",6,"p4j9zv8tlc","p4j9zv8tlc",0.495235100619195,0.372019379614194,0.402922597226616,0.375,0.0130051691180618,5.30952341374955e-06,0.999994688033098,1.10980749197418e-31,2.44348819156664e-09,"adults"
"5","3_pts",7,"p4j9zv8tlc","p4j9zv8tlc",0.491662821505121,0.372019379614194,0.500000000000001,0.375,0.0130051691180618,0.999511773067792,0.000488226751978732,2.03651088577711e-66,1.80229262686634e-10,"adults"
"6","3_pts",8,"p4j9zv8tlc","p4j9zv8tlc",0.595258915813289,0.369637860204811,0.597077402773385,0.375,0.0130051691180618,0.809678468200165,0.000310559203282041,0.190010972586151,1.04013130645636e-11,"adults"
"7","3_pts",9,"p4j9zv8tlc","p4j9zv8tlc",0.404737363062634,0.373210139318886,0.402922597226616,0.375,0.0130051691180618,0.999605791750343,0.000394208249657065,2.33970755614065e-69,6.88427867843302e-34,"adults"
"8","3_pts",10,"p4j9zv8tlc","p4j9zv8tlc",0.499998139437962,0.373210139318886,0.500000000000001,0.375,0.0130051691180618,0.999609624157731,0.000390375835248788,3.56601627109288e-70,7.01996766314841e-12,"adults"
"9","3_pts",11,"p4j9zv8tlc","p4j9zv8tlc",0.596449675517981,0.369637860204811,0.597077402773385,0.375,0.0130051691180618,0.809680495407095,0.000307875359939729,0.190011629226386,6.57968073996507e-12,"adults"
"10","3_pts",12,"p4j9zv8tlc","p4j9zv8tlc",0.401165083948559,0.373210139318886,0.402922597226616,0.375,0.0130051691180618,0.999606030868616,0.000393969131384124,5.74612595482334e-71,5.7347553864332e-35,"adults"
"11","3_pts",13,"p4j9zv8tlc","p4j9zv8tlc",0.497616620028579,0.373210139318886,0.500000000000001,0.375,0.0130051691180618,0.999602989768261,0.0003970102141459,4.22100097010736e-69,1.75931424140509e-11,"adults"
"12","3_pts",14,"p4j9zv8tlc","p4j9zv8tlc",0.594068156108598,0.369637860204811,0.597077402773385,0.375,0.0130051691180618,0.809674413917827,0.000315926605658758,0.190009659460045,1.64695922261517e-11,"adults"
"13","alternating_diff_1",3,"p4j9zv8tlc","p4j9zv8tlc",0.332101021076447,0.408932930459633,0.281837130231287,0.347384446864719,0.0130051691180618,2.88950316284252e-06,0.00187487632649072,0.998049139434959,7.30947353871838e-05,"adults"
"14","alternating_diff_1",4,"p4j9zv8tlc","p4j9zv8tlc",0.224932647654203,0.34701342581567,0.339829791815375,0.347384446864719,0.0130051691180618,1.35004851191613e-09,0.992734960627812,6.02191477797231e-05,0.00720481887435934,"adults"
"15","alternating_diff_1",5,"p4j9zv8tlc","p4j9zv8tlc",0.338054819599904,0.401788372231483,0.339829791815375,0.405377108448808,0.0130051691180618,0.999820742972801,0.00017640930585261,1.45584659298464e-08,2.83316288050058e-06,"adults"
"16","alternating_diff_1",6,"p4j9zv8tlc","p4j9zv8tlc",0.394020525720409,0.405360651345558,0.397822453399464,0.405377108448808,0.0130051691180618,0.999821387044747,0.000175586980648469,2.36776708733893e-08,3.00229693363945e-06,"adults"
"17","alternating_diff_1",7,"p4j9zv8tlc","p4j9zv8tlc",0.392829766015718,0.348204185520362,0.397822453399464,0.347384446864719,0.0130051691180618,0.999817161857495,0.000181492629995082,3.37544277448688e-09,1.34213706760142e-06,"adults"
"18","alternating_diff_1",8,"p4j9zv8tlc","p4j9zv8tlc",0.466656867706596,0.345822666110978,0.455815114983552,0.347384446864719,0.0130051691180618,0.999759478705682,0.000240456229820373,9.85763896652685e-10,6.40787335668766e-08,"adults"
"19","alternating_diff_1",9,"p4j9zv8tlc","p4j9zv8tlc",0.451176991545605,0.406551411050249,0.455815114983552,0.405377108448808,0.0130051691180618,0.999819169430354,0.00018003950478559,2.27028313659438e-09,7.8879457696635e-07,"adults"
"20","alternating_diff_1",10,"p4j9zv8tlc","p4j9zv8tlc",0.519050294713026,0.406551411050249,0.51380777656764,0.405377108448808,0.0130051691180618,0.999816464785133,0.000183260919341164,3.4622843563425e-09,2.70833241416174e-07,"adults"
"21","alternating_diff_1",11,"p4j9zv8tlc","p4j9zv8tlc",0.51428725589426,0.341059627292212,0.51380777656764,0.347384446864719,0.0130051691180618,0.999810234544716,0.000189558751986615,2.25230257210969e-09,2.04450994997529e-07,"adults"
"22","alternating_diff_1",12,"p4j9zv8tlc","p4j9zv8tlc",0.570252962014765,0.34701342581567,0.571800438151729,0.347384446864719,0.0130051691180618,0.999828865653487,0.00016948776510388,1.4938866784735e-08,1.63164254240749e-06,"adults"
"23","alternating_diff_1",13,"p4j9zv8tlc","p4j9zv8tlc",0.560726884377232,0.404169891640866,0.571800438151729,0.405377108448808,0.0130051691180618,0.999755087765565,0.000243422415203182,8.56568930420103e-10,1.48896266302446e-06,"adults"
"24","alternating_diff_1",14,"p4j9zv8tlc","p4j9zv8tlc",0.630981706954036,0.407742170754941,0.629793099735817,0.405377108448808,0.0130051691180618,0.999827450720379,0.0001717510154423,1.24478909201416e-08,7.85816287516843e-07,"adults"
"25","alternating_diff_2",3,"p4j9zv8tlc","p4j9zv8tlc",0.299950509049774,0.389880775184568,0.297025684455691,0.330815114983552,0.0130051691180618,0.000291731230993634,0.0015485495520247,0.995292888796884,0.00286683042009727,"adults"
"26","alternating_diff_2",4,"p4j9zv8tlc","p4j9zv8tlc",0.307095067277923,0.388690015479876,0.326022015247735,0.38880777656764,0.0130051691180618,0.997503225465644,0.00248854196626686,3.6161304804956e-14,8.23256805332576e-06,"adults"
"27","alternating_diff_2",5,"p4j9zv8tlc","p4j9zv8tlc",0.371396091331269,0.385117736365801,0.355018346039779,0.38880777656764,0.0130051691180618,0.997807341485722,0.00196753397857264,2.34461738760049e-05,0.000201678361829312,"adults"
"28","alternating_diff_2",6,"p4j9zv8tlc","p4j9zv8tlc",0.415454200404858,0.389880775184568,0.384014676831823,0.38880777656764,0.0130051691180618,0.663982345043405,0.0105849622439533,0.325418998423686,1.3694288955473e-05,"adults"
"29","alternating_diff_2",7,"p4j9zv8tlc","p4j9zv8tlc",0.376159130150035,0.427985085734699,0.413011007623868,0.330815114983552,0.0130051691180618,8.75581218974636e-09,0.707952413064006,0.116291242750057,0.175756335430125,"adults"
"30","alternating_diff_2",8,"p4j9zv8tlc","p4j9zv8tlc",0.428552557156465,0.385117736365801,0.442007338415912,0.38880777656764,0.0130051691180618,0.998481795305689,0.00150781835329893,1.82564755701311e-13,1.03863408298921e-05,"adults"
"31","alternating_diff_2",9,"p4j9zv8tlc","p4j9zv8tlc",0.49166282150512,0.389880775184568,0.471003669207956,0.38880777656764,0.0130051691180618,0.996718955602857,0.00308479140198028,8.86295424114484e-05,0.000107623452751105,"adults"
"32","alternating_diff_2",10,"p4j9zv8tlc","p4j9zv8tlc",0.558345364967848,0.389880775184568,0.5,0.38880777656764,0.0130051691180618,0.10674983217112,0.850847191452093,0.0424028020458356,1.74330951079338e-07,"adults"
"33","alternating_diff_2",11,"p4j9zv8tlc","p4j9zv8tlc",0.521431814122409,0.382736216956418,0.528996330792044,0.330815114983552,0.0130051691180618,0.00202666805191317,0.00196777501819975,0.981465958620717,0.0145395983091697,"adults"
"34","alternating_diff_2",12,"p4j9zv8tlc","p4j9zv8tlc",0.560726884377233,0.385117736365801,0.557992661584088,0.38880777656764,0.0130051691180618,0.999107445247463,0.000891405251691526,1.82647676751071e-13,1.14950066300951e-06,"adults"
"35","alternating_diff_2",13,"p4j9zv8tlc","p4j9zv8tlc",0.619074109907121,0.329152030245296,0.586988992376133,0.38880777656764,0.0130051691180618,0.0126915258907801,0.987307551951166,3.00538017633206e-12,9.22155048355232e-07,"adults"
"36","alternating_diff_2",14,"p4j9zv8tlc","p4j9zv8tlc",0.592877396403905,0.341059627292212,0.615985323168177,0.38880777656764,0.0130051691180618,0.247295478630805,0.625624690434067,0.105774467030391,0.021305363904738,"adults"
"37","f_curly_2",3,"p4j9zv8tlc","p4j9zv8tlc",0.51428725589426,0.660183228149559,0.579928146924981,0.481519878427231,0.0130051691180618,2.11740858525189e-29,0.999999997627574,9.24536050210723e-10,1.4478900563081e-09,"adults"
"38","f_curly_2",4,"p4j9zv8tlc","p4j9zv8tlc",0.628600187544653,0.383926976661109,0.656954817311339,0.424047731141991,0.0130051691180618,0.0684785137815252,0.931434148176265,8.73379784440955e-05,6.37654415003328e-11,"adults"
"39","f_curly_2",5,"p4j9zv8tlc","p4j9zv8tlc",0.757202235651345,0.416077488687783,0.698955677568687,0.484980860603813,0.0130051691180618,1.76268363491341e-07,0.866226392135555,0.133773430154469,1.44161336609375e-09,"adults"
"40","f_curly_2",6,"p4j9zv8tlc","p4j9zv8tlc",0.740531599785663,0.518482823291259,0.617547330147846,0.550010866556685,0.0130051691180618,8.58153231477438e-16,0.015132033095837,0.984689968944922,0.000177997959239759,"adults"
"41","f_curly_2",7,"p4j9zv8tlc","p4j9zv8tlc",0.552391566444391,0.572067010002381,0.493337427043184,0.499219269309694,0.0130051691180618,1.23389225583011e-08,0.468166754055174,0.531793905760666,3.93278452372091e-05,"adults"
"42","f_curly_2",8,"p4j9zv8tlc","p4j9zv8tlc",0.505951937961419,0.431557364848773,0.465544156311882,0.371288512496877,0.0130051691180618,0.000166068471632021,0.999577519610001,1.86682380081918e-15,0.000256411918364791,"adults"
"43","f_curly_2",9,"p4j9zv8tlc","p4j9zv8tlc",0.433315595975232,0.282712401762324,0.541357081852728,0.31053195482896,0.0130051691180618,3.714558074646e-12,0.16631895551976,0.833681042842402,1.63412409835981e-09,"adults"
