"","func.type","tpt","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_prev","group","guess_num"
"1","3_pts",3,"p4j9zv8tlc",0.66313221898071,0.370828619909503,0.402922597226616,0.375,0.00984387152269153,1.26334761059668e-106,0.999267745094942,0.000732254905058194,"adults",1
"2","3_pts",4,"p4j9zv8tlc",0.405928122767326,0.448228000714456,0.500000000000001,0.375,0.00984387152269153,8.3374411089118e-21,0.999989958783281,1.00412167193528e-05,"adults",2
"3","3_pts",5,"p4j9zv8tlc",0.597640435222672,0.374400899023577,0.597077402773385,0.375,0.00984387152269153,0.999996176787026,3.82321297385165e-06,3.66740373635987e-19,"adults",3
"4","3_pts",6,"p4j9zv8tlc",0.495235100619195,0.372019379614194,0.402922597226616,0.375,0.00984387152269153,1.0778595455347e-10,0.999999999892203,1.06725599619469e-14,"adults",4
"5","3_pts",7,"p4j9zv8tlc",0.491662821505121,0.372019379614194,0.500000000000001,0.375,0.00984387152269153,0.999994288851743,5.71114825663722e-06,2.96809791816442e-16,"adults",5
"6","3_pts",8,"p4j9zv8tlc",0.595258915813289,0.369637860204811,0.597077402773385,0.375,0.00984387152269153,0.999995504932927,4.49506707298734e-06,2.16707669558884e-18,"adults",6
"7","3_pts",9,"p4j9zv8tlc",0.404737363062634,0.373210139318886,0.402922597226616,0.375,0.00984387152269153,0.999996060315034,3.93968496599171e-06,1.61965544324126e-63,"adults",7
"8","3_pts",10,"p4j9zv8tlc",0.499998139437962,0.373210139318886,0.500000000000001,0.375,0.00984387152269153,0.999996126644247,3.87335575303917e-06,5.58473471967545e-19,"adults",8
"9","3_pts",11,"p4j9zv8tlc",0.596449675517981,0.369637860204811,0.597077402773385,0.375,0.00984387152269153,0.999995572013755,4.42798624539971e-06,8.90458354558126e-19,"adults",9
"10","3_pts",12,"p4j9zv8tlc",0.401165083948559,0.373210139318886,0.402922597226616,0.375,0.00984387152269153,0.999996064467331,3.93553266906583e-06,9.6539072677737e-66,"adults",10
"11","3_pts",13,"p4j9zv8tlc",0.497616620028579,0.373210139318886,0.500000000000001,0.375,0.00984387152269153,0.999996011522434,3.98847756638959e-06,3.30744154963437e-18,"adults",11
"12","3_pts",14,"p4j9zv8tlc",0.594068156108598,0.369637860204811,0.597077402773385,0.375,0.00984387152269153,0.999995369521128,4.63047887190656e-06,5.28723126068231e-18,"adults",12
"13","alternating_diff_1",3,"p4j9zv8tlc",0.332101021076447,0.408932930459633,0.281837130231287,0.347384446864719,0.00984387152269153,2.04750061028413e-07,0.670553444924072,0.329446350325867,"adults",1
"14","alternating_diff_1",4,"p4j9zv8tlc",0.224932647654203,0.34701342581567,0.339829791815375,0.347384446864719,0.00984387152269153,6.81475130449983e-19,0.955337957495048,0.0446620425049522,"adults",2
"15","alternating_diff_1",5,"p4j9zv8tlc",0.338054819599904,0.401788372231483,0.339829791815375,0.405377108448808,0.00984387152269153,0.999998104071269,1.79261097098404e-06,1.03317760129984e-07,"adults",3
"16","alternating_diff_1",6,"p4j9zv8tlc",0.394020525720409,0.405360651345558,0.397822453399464,0.405377108448808,0.00984387152269153,0.999998106123195,1.77813393289377e-06,1.15742872040739e-07,"adults",4
"17","alternating_diff_1",7,"p4j9zv8tlc",0.392829766015718,0.348204185520362,0.397822453399464,0.347384446864719,0.00984387152269153,0.999998092953456,1.88318627866925e-06,2.38602649037809e-08,"adults",5
"18","alternating_diff_1",8,"p4j9zv8tlc",0.466656867706596,0.345822666110978,0.455815114983552,0.347384446864719,0.00984387152269153,0.999996933895575,3.06604486974487e-06,5.9555407584387e-11,"adults",6
"19","alternating_diff_1",9,"p4j9zv8tlc",0.451176991545605,0.406551411050249,0.455815114983552,0.405377108448808,0.00984387152269153,0.999998134508884,1.85709854817981e-06,8.39256735029674e-09,"adults",7
"20","alternating_diff_1",10,"p4j9zv8tlc",0.519050294713026,0.406551411050249,0.51380777656764,0.405377108448808,0.00984387152269153,0.999998083850946,1.91512684766046e-06,1.02220653263761e-09,"adults",8
"21","alternating_diff_1",11,"p4j9zv8tlc",0.51428725589426,0.341059627292212,0.51380777656764,0.347384446864719,0.00984387152269153,0.999997968690032,2.0307227635882e-06,5.8720489861348e-10,"adults",9
"22","alternating_diff_1",12,"p4j9zv8tlc",0.570252962014765,0.34701342581567,0.571800438151729,0.347384446864719,0.00984387152269153,0.999998292705938,1.67228081806412e-06,3.5013244170748e-08,"adults",10
"23","alternating_diff_1",13,"p4j9zv8tlc",0.560726884377232,0.404169891640866,0.571800438151729,0.405377108448808,0.00984387152269153,0.999996838949735,3.13178904849664e-06,2.92612162149878e-08,"adults",11
"24","alternating_diff_1",14,"p4j9zv8tlc",0.630981706954036,0.407742170754941,0.629793099735817,0.405377108448808,0.00984387152269153,0.999998280434006,1.71123583582677e-06,8.33015837822041e-09,"adults",12
"25","alternating_diff_2",3,"p4j9zv8tlc",0.299950509049774,0.389880775184568,0.297025684455691,0.330815114983552,0.00984387152269153,3.26339788703572e-06,0.00205389044363261,0.99794284615848,"adults",1
