"","changepoints","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"31","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.26707665920672,3.5296111722959,11,29.0810461714135,2.15921393291663,42.9356740093548,3.31773950496002,-22.1000440045176,"line",76.5808079543366,75.2454059851139,1,24.7,1,0.38854375532069,0.158011150879624,0.428122738927343,0.161194336957855
"32","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.52624347873696,0.597231984411392,12,29.8333328316034,-4.02167264675667,16.6650184333823,30.6233555929369,-19.9039995967663,"line",31.0592881434584,45.0717604551667,1,24.7,1,0.785068717968243,0.814029768691478,0.780911200342095,0.827581624949376
"33","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.52766212864083,6.97145656709345,13,25.7093128077775,4.98385400604175,4.98805284790735,6.19064480295987,-21.3654683667948,"line",71.9384937322493,54.2553554906522,1,24.7,1,0.126476107574644,0.556536461503103,0.114363571548,0.601633695903492
"34","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.64343331526724,2.18538174170664,14,30.6552959753315,-1.07328493763183,35.2576551315694,42.9847052192446,-22.7661546451362,"line",29.7082942853068,64.4416698392058,1,24.7,1,0.845413942549433,0.271189738434433,0.924744626237636,0.28716067549995
"35","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.914878489955262,0.773266682112948,15,26.5864575290824,-1.21263967737084,43.3302521244826,29.8599316959649,-20.6275486355572,"line",45.6517919543052,57.0593270502233,1,24.7,1,0.240849603671117,0.32508503086804,0.238572361878189,0.325547815744687
"36","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",3.91019102662464,0.496839270270984,16,20.8915767898372,3.89072935227167,31.5497047303275,30.4054619294607,-20.6661199148047,"line",93.8311708075911,60.6733714214779,1,24.7,1,0.354288235637221,0.391600547295377,0.336838657027725,0.412188849280223
"37","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.09749235275642,1.06116649777665,17,26.3699336454294,2.95262111938569,16.7586249973357,43.9522718385946,-22.4131202477572,"line",109.460623114559,79.1824770428229,1,24.7,1,0.14758091985992,0.240155146881104,0.138611709388207,0.244380993292477
"38","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.6870756643606,2.32946841358952,18,23.3045260469561,1.18037660554729,12.3596640190367,23.1061097114956,-21.6958163536492,"line",23.9552208842233,33.8996299047868,1,24.7,1,0.275344283168176,0.054953122108851,0.246899483830957,0.0490450750423512
"39","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.39529946342129,0.547008362912567,19,23.1243184222599,2.56548190788203,28.1647975912275,5.75683544292604,-18.6161280290793,"line",58.0714901647567,65.1777956127411,1,24.7,1,0.185998265551966,0.233154156554007,0.178012095200401,0.22116861043055
"40","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.28483194372752,5.66416578366281,20,22.3704417783405,-1.62660058870131,8.98843353929739,11.6603312787281,-20.2937948230339,"line",50.5461937077467,63.9210045155337,1,24.7,1,0.305990201330194,0.371657692017603,0.282893965566757,0.36627326702713
"41","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.732067569129435,3.12748946738847,1,24.9677299658275,2.01460930612988,1.7706569619236,29.1073001507078,-21.2799497651667,"line",66.1860916795393,56.1883243868394,2,23.4,2,0.155803799017479,0.023302585605406,0.138668337434281,0.0245481524590702
"42","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.984444062457358,2.32000254655643,2,23.1139949664126,1.6707091594303,56.5363470003401,12.0354570743514,-21.7021247326437,"line",47.6701851313606,81.927864600604,2,23.4,2,0.0284022311648252,0.0408980480602683,0.0293370446963167,0.0406903518387748
"43","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.3610978556303,0.511118818972458,3,22.9617448369439,2.38466117605938,28.7225019812409,30.5801549167415,-20.2438786695404,"line",79.4256963415246,53.8840210067254,2,23.4,2,0.0344402203392165,0.0476426885141269,0.0337556627033548,0.0440884431905044
"44","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.705378714626041,0.31967653230849,4,23.5632680629875,1.48013211095924,9.84022442447709,8.91574308574289,-17.893283756002,"line",56.1570068340517,45.7846356153348,2,23.4,2,0.0393681787448621,0.0701820972730918,0.0437716176730997,0.0727032479349319
