fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
"SquaredExponential(0.36583207860493644, 1, 1)","SquaredExponential(0.8442641630936809, 1, 1)",0.0012040054508709,0.0073120949117222,10,24.63853579174249,1.0844198832949559,1.0,-1.0,4.175425138976232,1.2313453725843335,1.2682773326297503,line,2,23.4,2.0,0.0099409033197387,0.0178230181990297,-2.83788732158151
"SquaredExponential(0.10833926691726915, 1, 1)","SquaredExponential(0.9315482551607834, 1, 1)",0.0061439249776301,0.00864578554934,11,24.468662700762227,1.0954242093521576,1.0,-1.0,4.175410903998396,2.3864811167544833,1.3489072611180175,line,2,23.4,2.0,0.0373406685612006,0.0201612276908245,-2.8378899217092104
"SquaredExponential(0.5394442803905367, 3, 1)","SquaredExponential(0.7501527220435371, 2, 1)",0.0043034776105829,0.0002710737607069,12,24.615547119436712,1.0200938589798638,1.0,-1.0,4.175434116326445,1.4449221992632464,0.6176430518022513,line,2,23.4,2.0,0.0136884732542656,0.004226957777724,-2.837877429626704
"SquaredExponential(0.516334223902973, 3, 1)","SquaredExponential(0.9757242186641405, 1, 1)",0.0078904604003901,0.0089279933273816,13,24.570490817001684,1.097421848314129,1.0,-1.0,4.175403643287877,1.7908691908375158,1.3630719776773823,line,2,23.4,2.0,0.0210277989063319,0.020586872203095,-2.837906743757121
"SquaredExponential(0.18066935942515477, 1, 1)","SquaredExponential(0.1702990535432452, 3, 1)",0.0078729458881663,0.0025647017649085,14,24.50995018288064,1.1010556112512855,1.0,-1.0,4.175421764830294,2.1667451649961413,1.383742229771853,line,2,23.4,2.0,0.0307809314037873,0.0212159840271909,-2.837899985916708
"SquaredExponential(0.7007008189223688, 1, 1)","SquaredExponential(0.7560034628484287, 1, 1)",0.0068861973975832,0.0017300548433135,15,24.591316340037054,1.0337657140938097,1.0,-1.0,4.175426244762996,1.6404507995356787,0.8009471805712035,line,2,23.4,2.0,0.0176438153432919,0.0071082148040438,-2.8379146398324337
"SquaredExponential(0.30217694776697906, 2, 1)","SquaredExponential(0.30025563394556076, 1, 1)",0.0025192222936695,0.0027423032608341,16,24.61263046262387,1.0695824541769499,1.0,-1.0,4.175435283721686,1.4682681832620117,1.1492767906830073,line,2,23.4,2.0,0.0141343831761184,0.0146353145883948,-2.837900180190799
"SquaredExponential(0.6937556066487359, 2, 1)","SquaredExponential(0.2746452506320922, 1, 1)",0.0041740875429069,0.0077898479206985,17,24.624135244833003,1.1208502428507863,1.0,-1.0,4.175419392372992,1.3696355796883288,1.5163517926886707,line,2,23.4,2.0,0.0122991796039809,0.0254772604896414,-2.837899463312262
"SquaredExponential(0.568511130884125, 2, 1)","SquaredExponential(0.5959219896877626, 2, 1)",0.0071206621054808,0.0019922493107973,18,24.582842856040347,1.0408991426166407,1.0,-1.0,4.175425192031106,1.7031040962367223,0.881450952588791,line,2,23.4,2.0,0.0190172831065469,0.008608928330412,-2.837877605820329
"SquaredExponential(0.7972164114923406, 3, 1)","SquaredExponential(0.07743256418661434, 3, 1)",0.0008917516713948,0.0012976421515497,19,24.667578171141685,1.1805097822724642,1.0,-1.0,4.175438119420672,0.8946961452150559,1.8443183848064513,line,2,23.4,2.0,0.0052482826616576,0.0376898648701947,-2.8379092889977384
"SquaredExponential(0.8082027994214994, 2, 1)","SquaredExponential(0.05378314672466555, 1, 1)",0.0053679631395473,0.0075099237178142,20,24.613026084758328,1.3105360946773814,1.0,-1.0,4.175417625986015,1.4670318320440978,2.418127142248091,line,2,23.4,2.0,0.0141105895604298,0.0647904584606861,-2.8378992783859944
"SquaredExponential(0.12953946470376512, 2, 1)","SquaredExponential(0.07659309422084203, 3, 1)",0.0012751471409022,0.0070913712255109,1,22.091982053015244,2.884457310705683,0.894736842105263,-0.8947368421052632,5.4634633410227424,1.0823859409959482,1.7550990133920024,line,3,22.1,3.0,0.0076812229360631,0.0341315517652031,-1.2484095642018258
"SquaredExponential(0.7876057406509752, 2, 1)","SquaredExponential(0.7852666450581938, 2, 1)",0.0022016351867037,0.0059540960456128,2,23.13367648896179,1.8996669828696264,0.894736842105263,-0.8947368421052632,5.886177389918714,1.0826251665335125,1.163592994369081,line,3,22.1,3.0,0.0076846186707647,0.0150022011805518,-1.366668490055094
"SquaredExponential(0.7133193791588873, 3, 1)","SquaredExponential(0.43270787484049933, 2, 1)",0.0035801114150386,0.0059675732041564,3,23.301239584445728,2.1037815605970116,0.894736842105263,-0.8947368421052632,5.888628016860361,1.2953311345910026,1.2827556606644654,line,3,22.1,3.0,0.0110008867428793,0.0182322668694374,-1.1319479634852196
"SquaredExponential(0.9027979935631272, 3, 1)","SquaredExponential(0.8533170991029289, 2, 1)",0.0089892927906763,0.0009180667441447,4,23.678726357536373,2.487969500650384,0.894736842105263,-0.8947368421052632,5.657786092548787,1.7162756091704119,0.6020201108701274,line,3,22.1,3.0,0.0193125733359554,0.0040158250846767,-1.103806772672073
"SquaredExponential(0.28721427357738116, 3, 1)","SquaredExponential(0.9272412534900456, 1, 1)",0.002738843619303,0.006452041867733,5,22.69142557174743,1.8366762628534326,0.894736842105263,-0.8947368421052632,5.89200078153553,1.3510336068751627,1.1669405756160798,line,3,22.1,3.0,0.0119673609264607,0.0150886460611544,-1.193085912234853
"SquaredExponential(0.22981466179287346, 2, 1)","SquaredExponential(0.1437900391240569, 1, 1)",0.0061611156716609,0.0043557872622016,6,22.923369265151862,2.701900927423704,0.894736842105263,-0.8947368421052632,5.661556446873558,1.8651256811087673,1.3480957436405132,line,3,22.1,3.0,0.0228077418500971,0.0201369765542567,-1.166785645181345
"SquaredExponential(0.5863368707604198, 2, 1)","SquaredExponential(0.4731019602604703, 1, 1)",0.0083555575791248,0.0036909184379787,7,23.51905373719814,2.2280605669956124,0.894736842105263,-0.8947368421052632,5.846724301970256,1.7778325809618483,1.0762653494084975,line,3,22.1,3.0,0.0207227699908503,0.0128348709400265,-1.560520583294227
"SquaredExponential(0.9356295135819381, 3, 1)","SquaredExponential(0.6985197230891199, 3, 1)",0.007784346744746,0.0016760726869766,8,23.65971441902475,2.352392555334555,0.894736842105263,-0.8947368421052632,5.836631794843639,1.6204690306004108,0.7712731127235717,line,3,22.1,3.0,0.0172166065933553,0.0065912710737984,-1.2817934254687264
"SquaredExponential(0.42543448546629686, 1, 1)","SquaredExponential(0.5780552911865116, 1, 1)",0.0085530856028622,0.0069022912223109,9,23.391121288392945,1.958154494393306,0.894736842105263,-0.8947368421052632,5.772763455900385,1.8852261069663359,1.2842507924134803,line,3,22.1,3.0,0.0233019880633181,0.0182747933275861,-1.4800063402243122
"SquaredExponential(0.1788391675235342, 1, 1)","SquaredExponential(0.9398997718165123, 1, 1)",0.0042243083637549,0.0032777857285919,10,22.60578511081161,2.0047681985917802,0.894736842105263,-0.8947368421052632,5.820537666146591,1.6863962596482398,0.9243405323240579,line,3,22.1,3.0,0.0186459856385489,0.009467096063126,-1.1230158785549629
"SquaredExponential(0.19186675380858031, 1, 1)","SquaredExponential(0.662355663521966, 1, 1)",0.0037793055561865,0.0082824315305445,11,22.601038915057853,1.8753786888027615,0.894736842105263,-0.8947368421052632,5.767832543575542,1.603209636845231,1.3384979789483358,line,3,22.1,3.0,0.0168518162216946,0.0198512669213161,-1.405047129670687
"SquaredExponential(0.1677836226129755, 3, 1)","SquaredExponential(0.5866047364021753, 2, 1)",0.0082069391649032,0.0054438677891362,12,22.852102066722438,2.0179566502009383,0.894736842105263,-0.8947368421052632,5.704231159833505,2.1594888039187095,1.1832107746387193,line,3,22.1,3.0,0.0305751078971971,0.0155123294982953,-1.409402782431134
"SquaredExponential(0.0637673256729894, 3, 1)","SquaredExponential(0.5292474586007684, 1, 1)",0.0053820306301426,0.0025289138019201,13,22.034173629611594,2.3166130263153906,0.894736842105263,-0.8947368421052632,5.5490612803167805,2.1083389092716738,0.9286965603493184,line,3,22.1,3.0,0.0291438506210485,0.0095565351934033,-1.2360977501356292
"SquaredExponential(0.11186878435269272, 1, 1)","SquaredExponential(0.23126691425671006, 3, 1)",0.0012702139762928,0.0005674349600699,14,22.033908540208547,2.9628990961475505,0.894736842105263,-0.8947368421052632,5.784396716446829,1.1037510194127447,0.554179044833242,line,3,22.1,3.0,0.0079874530830184,0.0034029297920474,-1.351075997488277
"SquaredExponential(0.05888209662406763, 1, 1)","SquaredExponential(0.14129583260362444, 1, 1)",0.0091171734520081,0.0033539060174222,15,22.1306615307481,2.783303084198464,0.894736842105263,-0.8947368421052632,5.333100855492856,2.596794515364217,1.2206786876558682,line,3,22.1,3.0,0.0442121113607872,0.0165103208697756,-1.1752048683508671
"SquaredExponential(0.5607654851475277, 2, 1)","SquaredExponential(0.9769903224915835, 1, 1)",0.0065483552123875,0.0059845722827609,16,23.423419139413397,1.8385567229954787,0.894736842105263,-0.8947368421052632,5.872618412711897,1.6482653081213523,1.1277693646056217,line,3,22.1,3.0,0.0178123131076161,0.0140926730165426,-1.1027944327941157
"SquaredExponential(0.12264905800400011, 2, 1)","SquaredExponential(0.9191812579192704, 1, 1)",0.0091462820828874,0.0036230134037171,17,22.68708309404181,1.9823448934593118,0.894736842105263,-0.8947368421052632,5.654003437877205,2.3487016347562144,0.9592704141262315,line,3,22.1,3.0,0.0361677743880838,0.0101961188633563,-1.209162678651804
"SquaredExponential(0.06043639091870684, 2, 1)","SquaredExponential(0.8477491219617537, 2, 1)",0.0047450594173842,0.0042602127413447,18,21.964576021247982,1.9626113944279293,0.894736842105263,-0.8947368421052632,5.541698191214623,2.027259457391694,1.0262451155852308,line,3,22.1,3.0,0.0269454074486326,0.0116695738200836,-1.1502271462929272
"SquaredExponential(0.703643806912026, 3, 1)","SquaredExponential(0.15545401685727805, 3, 1)",0.0080220109833804,0.0082367864363622,19,23.57507941320279,2.4587255183337655,0.894736842105263,-0.8947368421052632,5.64481040036841,1.705358631941577,1.6823465617696374,line,3,22.1,3.0,0.0190676658429913,0.0313605535057963,-1.514010582460377
"SquaredExponential(0.5125254972802382, 2, 1)","SquaredExponential(0.2736776561702885, 1, 1)",0.0092779113270998,0.0007426275688137,20,23.49618062255615,2.8881978408880937,0.894736842105263,-0.8947368421052632,5.825337637264437,1.8815211965276368,0.6129611242874,line,3,22.1,3.0,0.0232104903406565,0.0041631173394756,-1.5595571605592038
"SquaredExponential(0.644737384186494, 2, 1)","SquaredExponential(0.08781156908844727, 3, 1)",0.0003656339607546,0.0054392528117381,1,20.84386721062577,4.171074594870438,0.7894736842105265,-0.7894736842105263,8.420532701241854,0.44146127262365803,1.3752785107504257,line,4,20.8,4.0,0.0012777659376583,0.0209572407992455,1.0347737480497543
"SquaredExponential(0.37163429956226307, 2, 1)","SquaredExponential(0.23574819934884556, 2, 1)",0.002383347849091,0.0090530689251264,2,21.042049432211833,3.602159848425862,0.7894736842105265,-0.7894736842105263,7.724890403361763,1.0675908822485682,1.5099979990689663,line,4,20.8,4.0,0.0074726698805768,0.0252641989716596,0.4265799558221737
"SquaredExponential(0.4306068149279634, 3, 1)","SquaredExponential(0.4517670978402162, 2, 1)",0.0016866411144378,0.0063765135903072,3,21.002464493659915,3.4049110835628733,0.7894736842105265,-0.7894736842105263,8.062605912935437,0.9061847001264848,1.2342736218106494,line,4,20.8,4.0,0.0053839316215202,0.0168801260221338,0.6132791688734367
"SquaredExponential(0.6656837566215824, 3, 1)","SquaredExponential(0.277910168442316, 2, 1)",0.0092686971636098,0.0025500338195,4,22.070222101746197,3.8895481694878296,0.7894736842105265,-0.7894736842105263,7.712787782641056,1.7915576990580073,0.8647480422443787,line,4,20.8,4.0,0.0210439704899541,0.008285752648925,1.0058117156183917
"SquaredExponential(0.7692884427996086, 3, 1)","SquaredExponential(0.9813127010066376, 1, 1)",0.0010519751353853,0.0089742535819451,5,21.07506555052873,2.832828598202015,0.7894736842105265,-0.7894736842105263,7.790714468855725,0.707797996108143,1.3037347980478835,line,4,20.8,4.0,0.0032846170453192,0.0188335116192903,0.6860081646727056
"SquaredExponential(0.8036961805843189, 2, 1)","SquaredExponential(0.9469554134103988, 1, 1)",0.0054901013995593,0.0031463914490411,6,21.879111330678256,3.3436554305634614,0.7894736842105265,-0.7894736842105263,7.505313313294819,1.4296939575242078,0.8646177196850848,line,4,20.8,4.0,0.0134014641261533,0.0082832554148857,0.7163740032149393
"SquaredExponential(0.3449929568055991, 2, 1)","SquaredExponential(0.0807808478076308, 1, 1)",0.0053574842657071,0.0027191998322168,7,21.312433015455973,4.2400324703271615,0.7894736842105265,-0.7894736842105263,7.658184930852869,1.5261213707622243,1.1028563009720385,line,4,20.8,4.0,0.0152701826831921,0.0134769198957753,0.1418862143255392
