fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
"SquaredExponential(0.3208935045710564, 1, 1)","Constant(0.7189057584823024, 1)",0.0093401253544213,0.0050751661501299,10,24.533018840593293,1.0665957855874633,1.0,-1.0,2.472309950159858,2.033424264213844,0.9554353121322632,line,2,23.4,2.0,0.0271095362211714,0.0101147549658645,-4.0136256712984135
"Periodic(0.14165428129773652, 0.3126931836545312, 2, 1)","SquaredExponential(0.3950102165767636, 1, 1)",0.0077063281299757,0.0025115914857135,11,12.407751158518742,1.0569689702669884,1.0,-1.0,1.4028337486028557,12.39735970010457,1.040132392079776,line,2,23.4,2.0,1.007684292702892,0.0119875389812033,-2.837878618871067
"SquaredExponential(0.42667133450187933, 1, 1)","Linear(0.965882533259442, 1, 1)",0.0008414238250857,0.0054965530211241,12,24.649625778772062,1.5702727081516903,1.0,-1.0,1.4018184015522923,1.1147872007370871,0.9679573966005015,line,2,23.4,2.0,0.0081479814645526,0.0103816235084057,-2.8379149730617725
"Linear(0.68398833762364, 3, 1)","SquaredExponential(0.956538188921876, 2, 1)",0.0081124131309342,0.0077942899433101,13,23.555388366705255,1.0871125640078567,1.0,-1.0,1.223528547404665,1.5078424028930035,1.2885618342369083,line,2,23.4,2.0,0.0149065791077522,0.01839769086595,-2.837915396035057
"Periodic(0.9226015561679054, 0.9073344342147879, 3, 1)","Periodic(0.12829737450812484, 0.857671996929543, 1, 1)",0.0046539292990337,0.0064121221125605,14,23.06126409927818,7.365594660253272,1.0,-1.0,1.4028344430735638,6.16175295945936,8.996732813273537,line,2,23.4,2.0,0.248928515683956,0.8968554162153218,-6.968323345713282
"Constant(0.6277351811220444, 1)","Constant(0.6754566105391601, 1)",0.0004995989303261,0.0029552894086954,15,24.69017875643718,1.0413837808339794,1.0,-1.0,3.4935994096428917,0.39030700502172866,0.7295669114633727,line,2,23.4,2.0,0.000998800558403,0.0058977050227391,-4.202391149167373
"Constant(0.7850132427011752, 1)","Constant(0.9370072112113251, 1)",0.0051539148533417,0.0024338500070241,16,24.619446350268767,1.0246120549986872,1.0,-1.0,3.584056204902,1.251818137066014,0.6623751631746722,line,2,23.4,2.0,0.010274212973741,0.0048613945350767,-2.8379013254184198
"SquaredExponential(0.8757973610053426, 1, 1)","SquaredExponential(0.7495421460494095, 3, 1)",0.0077392021027672,0.0091296391436142,17,24.58578911673695,1.1033266043504841,1.0,-1.0,1.40281460885368,1.6821700559041433,1.403693336007487,line,2,23.4,2.0,0.0185526469667134,0.0218321881612391,-3.156272715320794
"Periodic(0.28687525299294675, 0.4215364337174208, 2, 1)","Periodic(0.23261946798356198, 0.4080783096861861, 3, 1)",0.0069647444335055,0.0038855014836047,18,14.503166984299497,9.509277204401583,1.0,-1.0,1.4028342460016132,12.203129218502406,9.466536912116528,line,2,23.4,2.0,0.976356686544393,0.9929675469081964,-2.837878655156275
"Constant(0.384066397456162, 1)","SquaredExponential(0.4600698997513227, 1, 1)",0.0030074028382593,0.0083485315292347,19,24.60404562379512,1.1069747339995262,1.0,-1.0,2.184271694515976,0.9559442015748323,1.4275676418043088,line,2,23.4,2.0,0.0059914394041832,0.0225811564756422,-2.985888642882994
"Periodic(0.9516660838008972, 0.2652658364077521, 2, 1)","Constant(0.6428821341535106, 1)",0.0046845187938397,0.0046772094739559,20,17.131657160940193,1.068616861820999,1.0,-1.0,2.4465992659920954,11.413397448901625,0.9171627027988686,line,2,23.4,2.0,0.8540749156786317,0.0093206362704191,-2.8418514098641108
"SquaredExponential(0.17510396685733792, 3, 1)","SquaredExponential(0.6121585683474775, 3, 1)",0.0033001097589679,0.0006809176900056,1,22.495247519483264,2.691139401091381,0.894736842105263,-0.8947368421052632,2.946152198036774,1.5388531160655232,0.5533169882922997,line,3,22.1,3.0,0.0155260300140934,0.003392351130558,-2.576689638645459
"SquaredExponential(0.826077036905581, 2, 1)","Linear(0.5678019715091178, 1, 1)",0.0065735273596211,0.002695764870643,2,23.577931569000192,2.844693927341642,0.894736842105263,-0.8947368421052632,3.5133676939825933,1.553228059903384,0.5757083406019908,line,3,22.1,3.0,0.0158174525468126,0.003672466409293,-3.934915826971312
"Linear(0.31305076703576, 2, 1)","SquaredExponential(0.6291468401034065, 3, 1)",0.0010027864510461,0.0023465099668317,3,22.646451489696318,2.272488767354287,0.894736842105263,-0.8947368421052632,4.126952067983494,0.4605149249541982,0.8815176914526119,line,3,22.1,3.0,0.0013904440073141,0.0086102320259716,-1.2654106583136215
"Linear(0.7207565013615873, 1, 1)","Constant(0.7674492885359087, 1)",0.0036800747467771,0.006597368984324,4,22.687431313135225,1.5385186357517355,0.894736842105263,-0.8947368421052632,4.769299815703272,0.8835191499864954,0.9443752900840484,line,3,22.1,3.0,0.0051179733376574,0.0098819356068845,-1.0498441074448113
"SquaredExponential(0.5738873738993432, 1, 1)","Periodic(0.5284599006221896, 0.9962394506160936, 3, 1)",0.0088271960679702,0.0042185417045984,5,23.526235111682684,4.939165313680782,0.894736842105263,-0.8947368421052632,1.8000632540827073,1.8177683130727529,4.68766270320284,line,3,22.1,3.0,0.0216642242292866,0.2434812367756117,-9.000074546506198
"Constant(0.6842982053506391, 1)","Periodic(0.666492708687509, 0.4997467400444191, 3, 1)",0.0057757002553354,0.0032660628060502,6,24.000831588877052,6.221318446633975,0.894736842105263,-0.8947368421052632,2.5607944647951038,1.1487102997746408,7.796826265007745,line,3,22.1,3.0,0.0086514143998973,0.6735789452267548,-1.610478721348969
"Constant(0.5208593374441818, 1)","Constant(0.9741942612975715, 1)",0.0048296289565917,0.0006379693146314,7,23.99600664051098,1.5029459444781386,0.894736842105263,-0.8947368421052632,2.517217174919254,1.0503527617841182,0.29386335728405644,line,3,22.1,3.0,0.0072332995078596,0.0009568495596039,-0.8939092411049225
"Constant(0.6504604442341139, 1)","Constant(0.9872626937811404, 1)",0.0053933861270205,0.0022097721235998,8,24.00169415284411,1.510061008433454,0.894736842105263,-0.8947368421052632,5.048337531278884,1.1100544764685232,0.5468422348056576,line,3,22.1,3.0,0.0080789453407058,0.0033134230445124,-3.193666948258473
"SquaredExponential(0.3820368963209104, 2, 1)","Linear(0.8615858442877884, 1, 1)",0.0098315549689733,0.0034061638426306,9,23.387839823672817,2.364326029881421,0.894736842105263,-0.8947368421052632,3.595835276346114,2.0100191063626984,0.6580244110808686,line,3,22.1,3.0,0.0264890544538878,0.0047977410036379,-5.046334294558476
"Linear(0.8575851493440146, 3, 1)","SquaredExponential(0.41391789798247103, 2, 1)",0.0093130731082782,0.0081404295166494,10,22.875968948017398,2.0297701104229198,0.894736842105263,-0.8947368421052632,3.2332820775114985,1.413405073215621,1.4327688209721303,line,3,22.1,3.0,0.0130978308183491,0.0227459999373946,-2.383129516024113
"Linear(0.7922487826786173, 1, 1)","Linear(0.30022982031795226, 2, 1)",0.0052109528340693,0.000959003459588,11,22.805294461490874,2.5583224576891634,0.894736842105263,-0.8947368421052632,4.549611551882216,1.0548434039780143,0.3466797105376023,line,3,22.1,3.0,0.0072952817250958,0.0013317099357167,-3.2717255001249246
"Constant(0.24375616136011727, 1)","SquaredExponential(0.506405628554426, 2, 1)",0.0082254186269836,0.004746422901278,12,23.855870342503728,2.115151396789484,0.894736842105263,-0.8947368421052632,3.549574017919296,1.3680036924936494,1.1582334824181506,line,3,22.1,3.0,0.0122698887224918,0.0148643191112961,-0.7137570503685411
"Constant(0.4553769017665349, 1)","Constant(0.5058818468903828, 1)",0.0036504668915438,0.0011708057441185,13,24.003291488226285,1.510402698004681,0.894736842105263,-0.8947368421052632,3.989634521717715,0.9132667326094934,0.398041154602003,line,3,22.1,3.0,0.0054684136759574,0.0017555319751456,-0.8313149965059101
"Periodic(0.8857292622934096, 0.9112684179838211, 3, 1)","Linear(0.16422139854541315, 2, 1)",0.007149895601736,0.0086491679780792,14,20.353761238273897,2.424936258033717,0.894736842105263,-0.8947368421052632,2.235769826761524,5.325871597351882,1.0469226613518692,line,3,22.1,3.0,0.1859719600156009,0.0121445657490535,-8.235829132527122
"SquaredExponential(0.1122913536227179, 1, 1)","SquaredExponential(0.5131577286659095, 2, 1)",0.0083987459295099,0.009762885859771,15,22.589567715349283,1.91471607639534,0.894736842105263,-0.8947368421052632,2.7503144716486,2.307302435564208,1.47263494699314,line,3,22.1,3.0,0.0349039946838042,0.0240294037352408,-6.345755627993454
"Periodic(0.1576700593147098, 0.9584698767123712, 3, 1)","SquaredExponential(0.6760299297221017, 2, 1)",0.002627826969263,0.0028451822311896,16,16.250976526033725,2.1745243472722766,0.894736842105263,-0.8947368421052632,1.3844996830140912,10.60072189674449,0.9308335070822611,line,3,22.1,3.0,0.7367785391146755,0.0096005652953691,-1.2821971105898118
"SquaredExponential(0.19609731500591474, 1, 1)","Constant(0.9068076013560167, 1)",0.0008690088983792,0.0087830854162929,17,22.1700600009442,1.5433756820677282,0.894736842105263,-0.8947368421052632,4.197593801805664,0.8790149118965079,1.0895412040604382,line,3,22.1,3.0,0.0050659228332634,0.0131534629955176,-1.5408769770841928
"Linear(0.40691016247512946, 2, 1)","SquaredExponential(0.6671640307424999, 1, 1)",0.0037105789759349,0.0026980081600433,18,22.366807239422,2.1985409213283433,0.894736842105263,-0.8947368421052632,3.466952255203502,0.8797322433974057,0.9162068476203358,line,3,22.1,3.0,0.0050741944308087,0.0093012186994614,-5.240647159692156
"Periodic(0.9949181181893246, 0.8772598401860195, 3, 1)","Constant(0.37887377666477245, 1)",0.0015433678355996,0.0030939183751291,19,20.443486499903848,1.5365979857982464,0.894736842105263,-0.8947368421052632,2.824486479673141,5.008575825432083,0.6467391061889252,line,3,22.1,3.0,0.1644729911921367,0.0046345869415407,-1.358609879379567
"Periodic(0.8772822861239711, 0.944746417521782, 2, 1)","Constant(0.6329964711568163, 1)",0.0050047334964088,0.0053685064001319,20,20.419191892326428,1.5380037932171664,0.894736842105263,-0.8947368421052632,3.1392982019457527,5.031026462280067,0.8519029300460689,line,3,22.1,3.0,0.1659507762078532,0.0080414249553582,-2.929538484078039
"Constant(0.828014600254664, 1)","SquaredExponential(0.4421041625569202, 3, 1)",0.0086739221531834,0.0010070480616023,1,23.36154926050732,3.922771468110827,0.7894736842105265,-0.7894736842105263,6.180278311780586,1.3275628832748603,0.5519900529557134,line,4,20.8,4.0,0.011555168641014,0.0033760999286653,0.3223904967115119
"Linear(0.1336823407488529, 2, 1)","Linear(0.4358998215808918, 2, 1)",0.0019784688707494,0.0025722578765475,2,21.98285073606444,3.7644897650547233,0.7894736842105265,-0.7894736842105263,7.352465254255624,0.6145883461225586,0.529580249816609,line,4,20.8,4.0,0.0024764794387035,0.0031075372963526,-1.385110555765825
"SquaredExponential(0.6580731080582569, 2, 1)","SquaredExponential(0.4325296393857968, 1, 1)",2.550581431436381e-05,0.0018614875808367,3,20.761449638153913,3.8226353103922954,0.7894736842105265,-0.7894736842105263,7.539273079054094,0.1577764843698613,0.7282868899096622,line,4,20.8,4.0,0.0001632114541796,0.0058770281885239,1.5186039690912088
"Linear(0.5927642836486012, 1, 1)","SquaredExponential(0.5479950272033026, 2, 1)",0.0056996290987134,0.0096435081379487,4,21.20086122748438,3.111511811039992,0.7894736842105265,-0.7894736842105263,5.302642258935313,1.0270223820146334,1.4292073390781244,line,4,20.8,4.0,0.0069155368759298,0.0226330594800528,0.6397926796847382
"Linear(0.09735383601584155, 2, 1)","Linear(0.9669346168230271, 1, 1)",0.009417379480277,0.0085554236310855,5,22.011946514661087,2.986869873832783,0.7894736842105265,-0.7894736842105263,5.666804233891753,1.3421587718433032,0.9861666889190681,line,4,20.8,4.0,0.0118106519945314,0.0107758973776576,-8.608915251184364
