"func.type","tpt","emd","model","population"
"square_2",8,1.41686624352665,"gpnc","adult"
"radial_1",8,0.0404933175346359,"gpnc","adult"
"zigzag_2",8,0.47529141020285,"gpnc","adult"
"line",8,0.632798921226549,"gpnc","adult"
"stairs",8,0.919557203393724,"gpnc","adult"
"increasing_lines",8,1.80205970843683,"gpnc","adult"
"sine",8,0.887299632000466,"gpnc","adult"
"spiral_outward",8,0.568902222043599,"gpnc","adult"
"zigzag_3",8,0.633413525959131,"gpnc","adult"
"hexagon",9,0.0233572233392127,"gpnc","adult"
"3_pts",9,0.0913468585562427,"gpnc","adult"
"stairs_2",9,0.769835026548087,"gpnc","adult"
"alternating_diff_2",9,0.503505504815952,"gpnc","adult"
"hourglass_1",9,0.0332628315431025,"gpnc","adult"
"square_spiral",9,0.894260783782705,"gpnc","adult"
"alternating_diff_1",9,0.104897341927683,"gpnc","adult"
"triangle_1",9,0.0210829070961538,"gpnc","adult"
"plus",9,1.44232448362193,"gpnc","adult"
"zigzag_1",9,0.483664930211059,"gpnc","adult"
"f_curly_2",9,0.733981022144508,"gpnc","adult"
"zigzag_widening",9,0.948139039644355,"gpnc","adult"
"square_2",9,0.717419419302833,"gpnc","adult"
"radial_1",9,0.116308056685848,"gpnc","adult"
"zigzag_2",9,0.643855341827527,"gpnc","adult"
"line",9,0.664100747709114,"gpnc","adult"
"stairs",9,0.664029776399388,"gpnc","adult"
"increasing_lines",9,1.81969125650341,"gpnc","adult"
"sine",9,1.36853454942943,"gpnc","adult"
"spiral_outward",9,0.74131690598381,"gpnc","adult"
"zigzag_3",9,1.21374502701109,"gpnc","adult"
"hexagon",10,0.019493805890466,"gpnc","adult"
"3_pts",10,0.0476058408084133,"gpnc","adult"
"stairs_2",10,0.83035159256126,"gpnc","adult"
"alternating_diff_2",10,0.669537840574834,"gpnc","adult"
"hourglass_1",10,0.0893395890496583,"gpnc","adult"
"square_spiral",10,0.920836834035099,"gpnc","adult"
"alternating_diff_1",10,0.139030254865953,"gpnc","adult"
"triangle_1",10,0.0331689192896411,"gpnc","adult"
"plus",10,2.35142880964491,"gpnc","adult"
"zigzag_1",10,0.204379761274083,"gpnc","adult"
"f_curly_2",10,0.719628818006098,"gpnc","adult"
"zigzag_widening",10,1.08855035431,"gpnc","adult"
"square_2",10,1.31465055226696,"gpnc","adult"
"radial_1",10,0.0322115137366358,"gpnc","adult"
"zigzag_2",10,1.03648945984146,"gpnc","adult"
"line",10,0.527580040154074,"gpnc","adult"
"stairs",10,0.818945430748813,"gpnc","adult"
"increasing_lines",10,3.20814738107861,"gpnc","adult"
"sine",10,0.817369081516552,"gpnc","adult"
"spiral_outward",10,0.861357096268047,"gpnc","adult"
"zigzag_3",10,1.25654383856273,"gpnc","adult"
"hexagon",11,0.0246074189653804,"gpnc","adult"
"3_pts",11,0.0439323211296534,"gpnc","adult"
"stairs_2",11,1.11975353901067,"gpnc","adult"
"alternating_diff_2",11,0.675708381231006,"gpnc","adult"
"hourglass_1",11,0.0372760333247605,"gpnc","adult"
"square_spiral",11,0.858068309806988,"gpnc","adult"
"alternating_diff_1",11,0.129744671244589,"gpnc","adult"
"triangle_1",11,0.0674176750242815,"gpnc","adult"
"plus",11,2.36174265846405,"gpnc","adult"
"zigzag_1",11,0.165240577945049,"gpnc","adult"
"f_curly_2",11,0.829588508680382,"gpnc","adult"
"zigzag_widening",11,0.883192885150493,"gpnc","adult"
"square_2",11,0.653764889760121,"gpnc","adult"
"radial_1",11,0.0996538370927075,"gpnc","adult"
"zigzag_2",11,0.556199283091237,"gpnc","adult"
"line",11,0.523679022956979,"gpnc","adult"
"stairs",11,0.802201675212247,"gpnc","adult"
"increasing_lines",11,0.492105126131503,"gpnc","adult"
"sine",11,1.10256531961387,"gpnc","adult"
"spiral_outward",11,0.935275507283115,"gpnc","adult"
"zigzag_3",11,0.385248199948369,"gpnc","adult"
"hexagon",12,0.0257117246136033,"gpnc","adult"
"3_pts",12,0.0898086869642672,"gpnc","adult"
"stairs_2",12,0.750657157805024,"gpnc","adult"
"alternating_diff_2",12,0.336386863471159,"gpnc","adult"
"hourglass_1",12,0.0402306592868689,"gpnc","adult"
"square_spiral",12,1.02397733588145,"gpnc","adult"
"alternating_diff_1",12,0.132905275871204,"gpnc","adult"
"triangle_1",12,0.0266995134327204,"gpnc","adult"
"plus",12,1.28045653245788,"gpnc","adult"
"zigzag_1",12,0.159789491663876,"gpnc","adult"
"f_curly_2",12,0.853734893985381,"gpnc","adult"
"zigzag_widening",12,0.903254044165708,"gpnc","adult"
"square_2",12,0.566660002414392,"gpnc","adult"
"radial_1",12,0.0175144879675197,"gpnc","adult"
"zigzag_2",12,0.664621293211965,"gpnc","adult"
"line",12,0.499239114280459,"gpnc","adult"
"stairs",12,0.774314751111266,"gpnc","adult"
"increasing_lines",12,2.0388153715647,"gpnc","adult"
"sine",12,1.09340668733344,"gpnc","adult"
"spiral_outward",12,0.901624899462835,"gpnc","adult"
"zigzag_3",12,0.575637452365396,"gpnc","adult"
"hexagon",13,0.0282263676120024,"gpnc","adult"
"3_pts",13,0.0466495408761481,"gpnc","adult"
"stairs_2",13,0.478220702172194,"gpnc","adult"
"alternating_diff_2",13,0.393792655613444,"gpnc","adult"
"hourglass_1",13,0.0376311784954222,"gpnc","adult"
"square_spiral",13,0.940856025126698,"gpnc","adult"
"alternating_diff_1",13,0.121833563922848,"gpnc","adult"
"triangle_1",13,0.0262858210638602,"gpnc","adult"
