"","seq_id","tpt","true_x","true_y","in_kids"
"123","stairs",5,-5.40708211801574,6.41344429480437,TRUE
"124","stairs_2",5,4.11544435560365,1.75017649279439,TRUE
"125","alternating_diff_1",5,2,1,TRUE
"126","alternating_diff_2",5,5,0,TRUE
"127","sine",6,6,-0.838246494596778,TRUE
"128","line",6,6,6,FALSE
"129","spiral_outward",6,0.0329915028125267,4.27003875824871,TRUE
"130","triangle_1",6,-7.7715611723761e-16,1.4432899320127e-15,TRUE
"131","square_2",6,3,3,TRUE
"132","hexagon",6,-8.88178419700125e-16,0,TRUE
"133","radial_1",6,0,0,TRUE
"134","plus",6,0,0,TRUE
"135","zigzag_widening",6,-3.33405079344717,-5.20904072807214,TRUE
"136","3_pts",6,0,0,TRUE
"137","square_spiral",6,-1,-1,TRUE
"138","f_curly_2",6,-1.15336468216497,-0.562000023225261,TRUE
"139","hourglass_1",6,0,1,TRUE
"140","increasing_lines",6,0,3,TRUE
"141","zigzag_1",6,-2.44347786635253,-1.64794035622061,TRUE
"142","zigzag_2",6,-2.24088743034012,0.500501211972356,TRUE
"143","zigzag_3",6,-4.20399253802684,1.5252693992258,TRUE
"144","stairs",6,-7.38509020501019,6.70922125094627,TRUE
"145","stairs_2",6,4.23846262960663,3.74638953359472,TRUE
"146","alternating_diff_1",6,3,1,TRUE
"147","alternating_diff_2",6,6,0,TRUE
"148","sine",7,7,1.97095979615637,TRUE
"149","line",7,7,7,FALSE
"150","spiral_outward",7,-1.18053398874989,3.38836087981,TRUE
"151","triangle_1",7,0.999999999999999,-8.22925627046488e-16,TRUE
"152","square_2",7,2,3,TRUE
"153","hexagon",7,0.999999999999999,-1.1331077795296e-15,TRUE
"154","radial_1",7,0.313478060555453,0.949595443096897,TRUE
"155","plus",7,-0.0355709503422214,0.999367153498528,TRUE
"156","zigzag_widening",7,-7.8362806191526,-1.8954434989979,TRUE
"157","3_pts",7,1,0,TRUE
"158","square_spiral",7,0,-1,TRUE
"159","f_curly_2",7,-2.53084568360575,-1.12527604624581,TRUE
"160","hourglass_1",7,1,1,TRUE
"161","increasing_lines",7,1,3,TRUE
"162","zigzag_1",7,-2.74704076888542,-0.695128956096842,TRUE
"163","zigzag_2",7,-2.4129825330755,1.4855815516475,TRUE
"164","zigzag_3",7,-4.31933791198437,2.51859484675375,TRUE
"165","stairs",7,-7.86877885301914,8.64985137845313,TRUE
"166","stairs_2",7,5.2365691500068,3.68488039659324,TRUE
"167","alternating_diff_1",7,3,0,TRUE
"168","alternating_diff_2",7,7,-2,TRUE
"169","sine",8,8,2.96807473987015,TRUE
"170","line",8,8,8,FALSE
"171","spiral_outward",8,-1.68268660460918,1.84289404083037,TRUE
"172","triangle_1",8,0.500000000000002,0.866025403784439,TRUE
"173","square_2",8,1,3,TRUE
"174","hexagon",8,1.5,0.866025403784437,TRUE
"175","radial_1",8,0,0,TRUE
"176","plus",8,-0.0711419006844428,1.99873430699706,TRUE
"177","zigzag_widening",8,-4.44540105792956,-6.94538763742952,TRUE
"178","3_pts",8,2,0,TRUE
"179","square_spiral",8,1,-1,TRUE
"180","f_curly_2",8,-2.83907152907645,-2.54402111088937,TRUE
"181","hourglass_1",8,0,0,TRUE
"182","increasing_lines",8,2,3,TRUE
"183","zigzag_1",8,-3.0506036714183,0.257682444026925,TRUE
"184","zigzag_2",8,-2.58507763581088,2.47066189132264,TRUE
"185","zigzag_3",8,-4.43468328594189,3.5119202942817,TRUE
"186","stairs",8,-9.84678694001358,8.94562833459503,TRUE
"187","stairs_2",8,6.23467567040696,3.62337125959175,TRUE
"188","alternating_diff_1",8,4,0,TRUE
"189","alternating_diff_2",8,8,0,TRUE
"190","sine",9,9,1.23635545572527,TRUE
"191","line",9,9,9,FALSE
"192","spiral_outward",9,-1.14190686445303,0.178545137313854,TRUE
"193","triangle_1",9,2.22044604925031e-16,1.66533453693773e-15,TRUE
"194","square_2",9,0,3,TRUE
"195","hexagon",9,1,1.73205080756888,TRUE
"196","radial_1",9,-0.20331775757835,0.979112807317579,TRUE
"197","plus",9,0,0,TRUE
"198","zigzag_widening",9,-9.63398822162877,-2.90452594161564,TRUE
"199","3_pts",9,0,0,TRUE
"200","square_spiral",9,1,-2.22044604925031e-16,TRUE
"201","f_curly_2",9,-1.99831034992825,-3.21780799751126,TRUE
"202","hourglass_1",9,1,0,TRUE
"203","increasing_lines",9,3,3,TRUE
"204","zigzag_1",9,-3.50969168673999,-0.63070834509011,TRUE
"205","zigzag_2",9,-2.75717273854626,3.45574223099779,TRUE
"206","zigzag_3",9,-5.42800873346984,3.39657492032417,TRUE
"207","stairs",9,-10.3304755880225,10.8862584621019,TRUE
"208","stairs_2",9,6.35769394440994,5.61958430039209,TRUE
"209","alternating_diff_1",9,4,1,TRUE
"210","alternating_diff_2",9,9,0,TRUE
"211","sine",10,10,-1.63206333266811,TRUE
"212","line",10,10,10,FALSE
"213","spiral_outward",10,0.375,-0.923552210734534,TRUE
"214","triangle_1",10,1,9.30546457449323e-16,TRUE
"215","square_2",10,-1.83697019872103e-16,2,TRUE
"216","hexagon",10,1.33226762955019e-15,1.73205080756888,TRUE
"217","radial_1",10,0,0,TRUE
"218","plus",10,-0.999367153498528,-0.0355709503422213,TRUE
"219","zigzag_widening",10,-5.55675132241195,-8.6817345467869,TRUE
"220","3_pts",10,1,0,TRUE
"221","square_spiral",10,1,1,TRUE
"222","f_curly_2",10,-1.50220172082142,-2.5663218973512,TRUE
"223","hourglass_1",10,0,1,TRUE
"224","increasing_lines",10,0,4,TRUE
"225","zigzag_1",10,-3.96877970206168,-1.51909913420715,TRUE
"226","zigzag_2",10,-3.33204011259092,2.63749562864676,TRUE
"227","zigzag_3",10,-6.42133418099779,3.28122954636665,TRUE
"228","stairs",10,-12.308483675017,11.1820354182438,TRUE
"229","stairs_2",10,7.35580046481011,5.5580751633906,TRUE
"230","alternating_diff_1",10,5,1,TRUE
"231","alternating_diff_2",10,10,0,TRUE
"232","sine",11,11,-2.99997061965211,TRUE
"233","line",11,11,11,FALSE
"234","spiral_outward",11,2.375,-0.923552210734534,TRUE
"235","triangle_1",11,0.5,0.866025403784439,TRUE
"236","square_2",11,-3.67394039744206e-16,1,TRUE
"237","hexagon",11,-0.499999999999999,0.866025403784438,TRUE
"238","radial_1",11,-0.665634746762126,0.746277685518547,TRUE
