"func.name","tpt","r_id","pred_x","pred_y","true_x","true_y","motor_sd","prob_true","prob_rand","prob_prev","guess_num"
"3_pts",3,"Monkey 2",0.59118412990196,0.292547487745088,0.41996378173862,0.28125,0.0257167545165943,0.117074262511583,0.212900133563612,0.670025603924831,1
"3_pts",4,"Monkey 2",0.490349264705887,0.258731617647054,0.5,0.28125,0.0257167545165943,0.390083142206766,0.222916862140028,0.386999995653204,2
"3_pts",5,"Monkey 2",0.499578737745125,0.258501838235291,0.58003621826138,0.28125,0.0257167545165943,0.3162958509235,0.168414729723334,0.515289419353166,3
"3_pts",6,"Monkey 2",0.533854166666665,0.274777879901963,0.41996378173862,0.28125,0.0257167545165943,0.351732117147346,0.0378438794357635,0.61042400341689,4
"3_pts",7,"Monkey 2",0.439414828431381,0.268075980392157,0.5,0.28125,0.0257167545165943,0.385046121580663,0.203985511307241,0.410968367112084,5
"3_pts",8,"Monkey 2",0.492264093137261,0.268650428921569,0.58003621826138,0.28125,0.0257167545165943,0.25593070031844,0.243315629668105,0.500753670013454,6
"3_pts",9,"Monkey 2",0.484911151960796,0.276999080882357,0.41996378173862,0.28125,0.0257167545165943,0.554657300272392,0.0750632069330104,0.370279492794595,7
"3_pts",10,"Monkey 2",0.47346047794117,0.272824754901963,0.5,0.28125,0.0257167545165943,0.414815341465122,0.1817622849839,0.403422373550978,8
"3_pts",11,"Monkey 2",0.532896752450986,0.280292585784319,0.58003621826138,0.28125,0.0257167545165943,0.511628272060856,0.0989221471315384,0.389449580807606,9
"3_pts",12,"Monkey 2",0.550130208333343,0.275735294117645,0.41996378173862,0.28125,0.0257167545165943,0.186657050891207,0.0860246539202807,0.727318295188501,10
"3_pts",13,"Monkey 2",0.519148284313724,0.270641850490199,0.5,0.28125,0.0257167545165943,0.542034815956775,0.249839430456618,0.208125753586607,11
"3_pts",14,"Monkey 2",0.505361519607839,0.282896752450982,0.58003621826138,0.28125,0.0257167545165943,0.337032131244275,0.0672250046306761,0.59574286412505,12
"alternating_diff_1",3,"Monkey 2",0.349030671296302,0.331199363425921,0.308749999999999,0.25734375,0.0257167545165943,0.00720882115915601,0.126432040254689,0.866359138586152,1
"alternating_diff_1",4,"Monkey 2",0.322735821759258,0.228190104166662,0.356562499999999,0.25734375,0.0257167545165943,0.0949840181798721,0.101405195866664,0.803610785953463,2
"alternating_diff_1",5,"Monkey 2",0.399197048611115,0.251699942129629,0.356562499999999,0.30515625,0.0257167545165943,0.0413834959748273,0.189312670969433,0.76930383305574,3
"alternating_diff_1",6,"Monkey 2",0.376953125,0.326714409722221,0.404374999999999,0.30515625,0.0257167545165943,0.0636973350421172,0.0451648233894768,0.891137841568406,4
"alternating_diff_1",7,"Monkey 2",0.428891782407407,0.321686921296297,0.404374999999999,0.25734375,0.0257167545165943,0.0259240780600301,0.111683396143685,0.862392525796287,5
"alternating_diff_1",8,"Monkey 2",0.421730324074078,0.230107060185182,0.452187499999999,0.25734375,0.0257167545165943,0.0966621543522881,0.0954404056722406,0.807897439975471,6
"alternating_diff_1",9,"Monkey 2",0.493019386574073,0.258752893518518,0.452187499999999,0.30515625,0.0257167545165943,0.022200983520609,0.0855420665379963,0.892256949941394,7
"alternating_diff_1",10,"Monkey 2",0.494032118055557,0.314814814814809,0.499999999999999,0.30515625,0.0257167545165943,0.164024143785619,0.169073413139552,0.666902443074829,8
"alternating_diff_1",11,"Monkey 2",0.525607638888887,0.312897858796298,0.499999999999999,0.25734375,0.0257167545165943,0.0429466132185321,0.0304119246887695,0.926641462092698,9
"alternating_diff_1",12,"Monkey 2",0.519856770833323,0.26255063657408,0.547812499999999,0.25734375,0.0257167545165943,0.0773450220758126,0.185513517912641,0.737141460011554,10
"alternating_diff_1",13,"Monkey 2",0.586841724537036,0.257667824074075,0.547812499999999,0.30515625,0.0257167545165943,0.019074413451867,0.0606318837549388,0.920293702793194,11
"alternating_diff_1",14,"Monkey 2",0.585322627314814,0.316623263888887,0.595624999999999,0.30515625,0.0257167545165943,0.154196754168922,0.127249031442588,0.718554214388491,12
"alternating_diff_2",3,"Monkey 2",0.349762561274512,0.302274816176469,0.332656249999999,0.257343749999999,0.0257167545165943,0.37934525904712,0.037220634763657,0.583434106189223,1
"alternating_diff_2",4,"Monkey 2",0.361251531862746,0.226562500000002,0.356562499999999,0.305156249999999,0.0257167545165943,0.147447888091798,0.0936367670742415,0.758915344833961,2
"alternating_diff_2",5,"Monkey 2",0.394301470588233,0.31219362745098,0.380468749999999,0.305156249999999,0.0257167545165943,0.68048997222214,0.00615778859891599,0.313352239178943,3
"alternating_diff_2",6,"Monkey 2",0.429572610294118,0.305261948529411,0.404374999999999,0.305156249999999,0.0257167545165943,0.682508834888677,0.0598167988889563,0.257674366222367,4
"alternating_diff_2",7,"Monkey 2",0.458371629901965,0.295151654411763,0.428281249999999,0.257343749999999,0.0257167545165943,0.550648410129003,0.0320476895254479,0.417303900345549,5
"alternating_diff_2",8,"Monkey 2",0.442784926470585,0.235677083333332,0.452187499999999,0.305156249999999,0.0257167545165943,0.179913017218189,0.0490677292559862,0.771019253525826,6
"alternating_diff_2",9,"Monkey 2",0.492953431372547,0.308402267156859,0.476093749999999,0.305156249999999,0.0257167545165943,0.652634705145961,0.0348069772520516,0.312558317601987,7
"alternating_diff_2",10,"Monkey 2",0.521369485294115,0.308402267156861,0.499999999999999,0.305156249999999,0.0257167545165943,0.685231371709484,0.0340595638424246,0.280709064448091,8
