"r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:35 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:37 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:40 2024",1536,864,3,23.4,2,22.1,3,20.8111945746725,2.33435563479346,1,1.44909811019897,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:42 2024",1536,864,4,22.1,3,20.8,4,21.4904288855136,6.38550313159565,0,0.0435009002685546,1,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:43 2024",1536,864,5,20.8,4,19.5,5,18.2883242772627,4.76019245922591,1,0.169030427932739,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:45 2024",1536,864,6,19.5,5,18.2,6,18.2883242772627,5.77904392548754,1,0.825140476226807,3,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:48 2024",1536,864,7,18.2,6,16.9,7,17.9244487535979,6.62808681403889,1,1.73108839988708,4,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:01 2024",1536,864,8,16.9,7,15.6,8,-2.91348956827687,0.393686175247498,0,10.7217814922333,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:03 2024",1536,864,9,15.6,8,14.3,9,14.3342102534378,9.27224895267026,1,0.167440891265869,5,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:05 2024",1536,864,10,14.3,9,13,10,14.4312437264151,10.4609089966422,1,1.32747936248779,6,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:07 2024",1536,864,11,13,10,11.7,11,11.8841150607611,11.2856935169492,1,0.789733409881592,7,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:10 2024",1536,864,12,11.7,11,10.4,12,12.0539236384713,12.3288033514552,0,0.292154312133789,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:16 2024",1536,864,13,10.4,12,9.1,13,7.46909204029402,12.3530617196995,0,4.43769788742065,7,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
26432127,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:29 2024",1536,864,14,9.1,13,7.8,14,18.9675585881038,15.2155491725298,0,10.0612671375275,7,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:20 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:21 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:23 2024",1536,864,3,23.4,2,22.1,3,22.048371355133,2.98933157739022,1,0.085024356842041,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:26 2024",1536,864,4,22.1,3,20.8,4,19.3314341117687,3.42598220578806,1,1.61578869819641,2,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:28 2024",1536,864,5,20.8,4,19.5,5,18.5794246961946,6.94344560121511,0,0.0857031345367431,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:30 2024",1536,864,6,19.5,5,18.2,6,16.8328221826033,7.13751254716971,0,0.373248100280762,2,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:32 2024",1536,864,7,18.2,6,16.9,7,17.5120564934444,6.72512028701619,1,0.0441126823425293,3,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:34 2024",1536,864,8,16.9,7,15.6,8,15.8139707163416,6.48253660457295,1,1.37602782249451,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:37 2024",1536,864,9,15.6,8,14.3,9,13.4366506283978,6.21569455388538,0,1.03664946556091,4,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:39 2024",1536,864,10,14.3,9,13,10,12.7088995810681,9.66038284457946,1,0.248408079147339,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:42 2024",1536,864,11,13,10,11.7,11,12.3450240574032,9.39354079389189,0,1.16518783569336,5,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:44 2024",1536,864,12,11.7,11,10.4,12,11.0835889086984,9.95148326351135,0,0.126081705093384,5,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:46 2024",1536,864,13,10.4,12,9.1,13,7.54186714502699,12.9110041893189,1,0.12568736076355,6,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
33163470,"Monkey 2","line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:49 2024",1536,864,14,9.1,13,7.8,14,13.5336841013751,11.7708608818357,0,1.40442705154419,6,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:14 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:16 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:17 2024",1536,864,3,23.4,2,22.1,3,22.1696631963547,2.21306379357184,1,0.0430095195770263,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:20 2024",1536,864,4,22.1,3,20.8,4,23.843490605213,1.92196337463994,0,1.24611616134644,1,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:22 2024",1536,864,5,20.8,4,19.5,5,20.1077018955871,6.26421129037403,1,0.208727598190308,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:25 2024",1536,864,6,19.5,5,18.2,6,18.6279414326833,5.2453598241124,1,1.36507487297058,3,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:28 2024",1536,864,7,18.2,6,16.9,7,-1.14262868644118,7.3315794931243,0,1.2862765789032,3,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:29 2024",1536,864,8,16.9,7,15.6,8,15.0862196690119,8.44746443236323,1,0.0844292640686035,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:32 2024",1536,864,9,15.6,8,14.3,9,16.1778462400065,9.44205753038054,0,0.82882809638977,4,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:37 2024",1536,864,10,14.3,9,13,10,11.956890165494,9.63612447633513,1,3.31696081161499,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:40 2024",1536,864,11,13,10,11.7,11,11.8113399560281,9.53909100335783,1,1.28416800498962,6,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:43 2024",1536,864,12,11.7,11,10.4,12,8.90033576670916,9.58760773984648,0,1.0002133846283,6,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:45 2024",1536,864,13,10.4,12,9.1,13,8.82756066197619,14.7546401758876,0,0.0439624786376953,6,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
1232483,"Monkey 2","line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:54 2024",1536,864,14,9.1,13,7.8,14,4.99473847937292,13.0322960305406,0,7.58359384536743,6,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
19112659,"Monkey 1","line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:21 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
19112659,"Monkey 1","line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:22 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
19112659,"Monkey 1","line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:24 2024",1536,864,3,23.4,2,22.1,3,21.4661705172693,5.63349371602159,0,0.084451675415039,0,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
19112659,"Monkey 1","line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:26 2024",1536,864,4,22.1,3,20.8,4,18.6279414326833,4.27502509433942,0,0.167195558547974,0,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
19112659,"Monkey 1","line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:28 2024",1536,864,5,20.8,4,19.5,5,18.7977500103936,4.80870919571456,1,0.0854778289794921,1,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
