func_id,n,x_curr,y_curr,x_next,y_next,x_pred,y_pred,x_std,y_std,mode,error,acc,rel_error,motor_error,prev_radius,p_model,p_prev
zigzag.29,0,245.1526990776921,89.65352992868843,188.87637768737636,278.4968013632067,601.0325927734375,281.0941162109375,403.56585693359375,231.31179809570312,train,465.55094353286916,0.013585446069151484,2.3625999795187433,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,1,188.87637768737636,278.4968013632067,132.6000562970606,467.3400727977248,375.6488952636719,376.13671875,180.74642944335935,132.58163452148438,train,347.8906607002523,0.02052523715924754,1.7654920031048085,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,2,132.6000562970606,467.3400727977248,530.4190369558265,174.79639906289125,356.6446533203125,470.7203063964844,216.3527984619141,173.52203369140625,train,447.0842822180791,0.00677944364716386,0.9053893372137826,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,3,530.4190369558265,174.79639906289125,474.14271556551074,363.6396704974095,1015.4971923828124,398.6611633300781,266.5133056640625,118.9179229736328,train,450.71919569940957,0.011161175906862737,2.2873311230931845,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,4,474.14271556551074,363.6396704974095,417.86639417519496,552.4829419319277,571.6074829101562,459.434326171875,184.94113159179688,153.447509765625,train,297.9646000678894,0.028244751715742197,1.5121248658107462,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,5,417.86639417519496,552.4829419319277,815.6853748339611,259.93926819709407,569.7613525390625,507.5159912109375,198.00192260742188,198.818115234375,train,441.60863990995836,0.006464585288812984,0.8943006267460963,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,6,815.6853748339611,259.93926819709407,759.4090534436453,448.7825396316122,929.55810546875,517.7318725585938,340.781005859375,125.84874725341795,train,315.91064957511986,0.023279986059013793,1.603198327882318,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,7,759.4090534436453,448.7825396316122,703.1327320533297,637.6258110661306,721.3519897460938,506.3194580078125,194.18704223632812,155.39564514160156,train,282.04620343845227,0.029775916383073715,1.4313414326051714,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,8,703.1327320533297,637.6258110661306,1100.9517127120955,345.08213733129685,737.6427612304688,488.2448120117187,220.09307861328125,194.51303100585935,train,471.1442347058231,0.006054542306331586,0.9541130908832258,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,9,1100.9517127120955,345.08213733129685,1044.67539132178,533.9254087658151,799.2680053710938,487.7545471191406,244.31451416015625,178.59564208984375,train,336.93949942697117,0.019310117568305755,1.7099165311626405,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,10,1044.67539132178,533.9254087658151,988.3990699314644,722.7686802003334,844.1513671875,607.701904296875,163.50343322753906,127.9974136352539,train,292.7422006149056,0.026332161334070823,1.4856219857026594,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,11,988.3990699314644,722.7686802003334,1386.2180505902302,430.2250064654997,834.3426513671875,485.41107177734375,285.449951171875,242.50762939453125,train,592.0637923944242,0.0036846672529012568,1.1989870051454687,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
zigzag.29,12,1386.2180505902302,430.2250064654997,1329.9417291999148,619.0682779000178,875.6207275390625,451.95361328125,248.0364990234375,209.32345581054688,train,469.03127317081083,0.008907828275772377,2.380262121214607,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,0,116.63067652170268,248.97496766729824,213.05843938595387,276.36052890502344,510.2318115234375,296.5364685058594,408.5581970214844,180.91452026367188,train,395.14226848614004,0.04867287875846957,3.9419178781165947,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,1,213.05843938595387,276.36052890502344,309.4862022502051,303.7460901427486,272.2108459472656,280.85260009765625,48.12372589111328,31.473920822143555,train,174.57128361637172,0.2900631820892947,1.7415136743774489,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,2,309.4862022502051,303.7460901427486,405.9139651144564,331.1316513804737,380.57769775390625,318.5845031738281,62.383792877197266,38.66700744628906,train,168.09938872654214,0.27122177832164795,1.6769504013334116,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,3,405.9139651144564,331.1316513804737,502.3417279787076,358.51721261819887,492.99505615234375,355.0769348144531,71.93672180175781,43.0611572265625,train,163.91091506173004,0.25088988954853925,1.6351664148097784,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,4,502.3417279787076,358.51721261819887,598.7694908429587,385.902773855924,592.735107421875,386.6849060058594,68.12296295166016,42.81106185913086,train,157.3664045769715,0.27024240451660664,1.5698787325220107,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,5,598.7694908429587,385.902773855924,695.1972537072099,413.2883350936492,685.0681762695312,413.8986206054687,66.99337768554688,42.99513244628906,train,154.37573702555414,0.26729738725797475,1.540043994938503,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
line.2,6,695.1972537072099,413.2883350936492,791.6250165714612,440.6738963313743,773.460693359375,438.4246826171875,70.08094024658203,44.369022369384766,train,156.5018455614661,0.25186579644036006,1.5612539385890183,19.989278165749266,78.60009376268167,0.5670938854941858,0.27339644187278594
