"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"Constant(0.7850132427011752, 1)","Constant(0.9370072112113251, 1)",16,24.6194463502688,1.02461205499869,3.584056204902,1.25181813706601,0.662375163174672,"line",2,23.4,2
"SquaredExponential(0.8757973610053426, 1, 1)","SquaredExponential(0.7495421460494095, 3, 1)",17,24.585789116737,1.10332660435048,1.40281460885368,1.68217005590414,1.40369333600749,"line",2,23.4,2
"Periodic(0.28687525299294675, 0.4215364337174208, 2, 1)","Periodic(0.23261946798356198, 0.4080783096861861, 3, 1)",18,14.5031669842995,9.50927720440158,1.40283424600161,12.2031292185024,9.46653691211653,"line",2,23.4,2
"Constant(0.384066397456162, 1)","SquaredExponential(0.4600698997513227, 1, 1)",19,24.6040456237951,1.10697473399953,2.18427169451598,0.955944201574832,1.42756764180431,"line",2,23.4,2
"Periodic(0.9516660838008972, 0.2652658364077521, 2, 1)","Constant(0.6428821341535106, 1)",20,17.1316571609402,1.068616861821,2.4465992659921,11.4133974489016,0.917162702798869,"line",2,23.4,2
"SquaredExponential(0.17510396685733792, 3, 1)","SquaredExponential(0.6121585683474775, 3, 1)",1,22.4952475194833,2.69113940109138,2.94615219803677,1.53885311606552,0.5533169882923,"line",3,22.1,3
"SquaredExponential(0.826077036905581, 2, 1)","Linear(0.5678019715091178, 1, 1)",2,23.5779315690002,2.84469392734164,3.51336769398259,1.55322805990338,0.575708340601991,"line",3,22.1,3
"Linear(0.31305076703576, 2, 1)","SquaredExponential(0.6291468401034065, 3, 1)",3,22.6464514896963,2.27248876735429,4.12695206798349,0.460514924954198,0.881517691452612,"line",3,22.1,3
"Linear(0.7207565013615873, 1, 1)","Constant(0.7674492885359087, 1)",4,22.6874313131352,1.53851863575174,4.76929981570327,0.883519149986495,0.944375290084048,"line",3,22.1,3
"SquaredExponential(0.5738873738993432, 1, 1)","Periodic(0.5284599006221896, 0.9962394506160936, 3, 1)",5,23.5262351116827,4.93916531368078,1.80006325408271,1.81776831307275,4.68766270320284,"line",3,22.1,3
"Constant(0.6842982053506391, 1)","Periodic(0.666492708687509, 0.4997467400444191, 3, 1)",6,24.0008315888771,6.22131844663398,2.5607944647951,1.14871029977464,7.79682626500774,"line",3,22.1,3
"Constant(0.5208593374441818, 1)","Constant(0.9741942612975715, 1)",7,23.996006640511,1.50294594447814,2.51721717491925,1.05035276178412,0.293863357284056,"line",3,22.1,3
"Constant(0.6504604442341139, 1)","Constant(0.9872626937811404, 1)",8,24.0016941528441,1.51006100843345,5.04833753127888,1.11005447646852,0.546842234805658,"line",3,22.1,3
"SquaredExponential(0.3820368963209104, 2, 1)","Linear(0.8615858442877884, 1, 1)",9,23.3878398236728,2.36432602988142,3.59583527634611,2.0100191063627,0.658024411080869,"line",3,22.1,3
"Linear(0.8575851493440146, 3, 1)","SquaredExponential(0.41391789798247103, 2, 1)",10,22.8759689480174,2.02977011042292,3.2332820775115,1.41340507321562,1.43276882097213,"line",3,22.1,3
"Linear(0.7922487826786173, 1, 1)","Linear(0.30022982031795226, 2, 1)",11,22.8052944614909,2.55832245768916,4.54961155188222,1.05484340397801,0.346679710537602,"line",3,22.1,3
"Constant(0.24375616136011727, 1)","SquaredExponential(0.506405628554426, 2, 1)",12,23.8558703425037,2.11515139678948,3.5495740179193,1.36800369249365,1.15823348241815,"line",3,22.1,3
"Constant(0.4553769017665349, 1)","Constant(0.5058818468903828, 1)",13,24.0032914882263,1.51040269800468,3.98963452171771,0.913266732609493,0.398041154602003,"line",3,22.1,3
"Periodic(0.8857292622934096, 0.9112684179838211, 3, 1)","Linear(0.16422139854541315, 2, 1)",14,20.3537612382739,2.42493625803372,2.23576982676152,5.32587159735188,1.04692266135187,"line",3,22.1,3
"SquaredExponential(0.1122913536227179, 1, 1)","SquaredExponential(0.5131577286659095, 2, 1)",15,22.5895677153493,1.91471607639534,2.7503144716486,2.30730243556421,1.47263494699314,"line",3,22.1,3
"Periodic(0.1576700593147098, 0.9584698767123712, 3, 1)","SquaredExponential(0.6760299297221017, 2, 1)",16,16.2509765260337,2.17452434727228,1.38449968301409,10.6007218967445,0.930833507082261,"line",3,22.1,3
"SquaredExponential(0.19609731500591474, 1, 1)","Constant(0.9068076013560167, 1)",17,22.1700600009442,1.54337568206773,4.19759380180566,0.879014911896508,1.08954120406044,"line",3,22.1,3
"Linear(0.40691016247512946, 2, 1)","SquaredExponential(0.6671640307424999, 1, 1)",18,22.366807239422,2.19854092132834,3.4669522552035,0.879732243397406,0.916206847620336,"line",3,22.1,3
"Periodic(0.9949181181893246, 0.8772598401860195, 3, 1)","Constant(0.37887377666477245, 1)",19,20.4434864999038,1.53659798579825,2.82448647967314,5.00857582543208,0.646739106188925,"line",3,22.1,3
"Periodic(0.8772822861239711, 0.944746417521782, 2, 1)","Constant(0.6329964711568163, 1)",20,20.4191918923264,1.53800379321717,3.13929820194575,5.03102646228007,0.851902930046069,"line",3,22.1,3
"Constant(0.828014600254664, 1)","SquaredExponential(0.4421041625569202, 3, 1)",1,23.3615492605073,3.92277146811083,6.18027831178059,1.32756288327486,0.551990052955713,"line",4,20.8,4
"Linear(0.1336823407488529, 2, 1)","Linear(0.4358998215808918, 2, 1)",2,21.9828507360644,3.76448976505472,7.35246525425562,0.614588346122559,0.529580249816609,"line",4,20.8,4
"SquaredExponential(0.6580731080582569, 2, 1)","SquaredExponential(0.4325296393857968, 1, 1)",3,20.7614496381539,3.8226353103923,7.53927307905409,0.157776484369861,0.728286889909662,"line",4,20.8,4
"Linear(0.5927642836486012, 1, 1)","SquaredExponential(0.5479950272033026, 2, 1)",4,21.2008612274844,3.11151181103999,5.30264225893531,1.02702238201463,1.42920733907812,"line",4,20.8,4
"Linear(0.09735383601584155, 2, 1)","Linear(0.9669346168230271, 1, 1)",5,22.0119465146611,2.98686987383278,5.66680423389175,1.3421587718433,0.986166688919068,"line",4,20.8,4
"SquaredExponential(0.018534039406506227, 1, 1)","SquaredExponential(0.05050093804661937, 2, 1)",6,20.8554452191707,4.37457493806999,3.03380123615985,1.73793475123045,1.85326736401359,"line",4,20.8,4
"Constant(0.36927320943679487, 1)","Linear(0.43675133502201435, 2, 1)",7,23.344012968275,3.81476621727416,5.2870995702126,1.07043727427793,0.942308480091173,"line",4,20.8,4
"Constant(0.7701886226151635, 1)","Linear(0.3181404866766129, 2, 1)",8,23.3702371689754,3.42693979903446,6.56711628120615,1.1261361044099,0.585916579605931,"line",4,20.8,4
"Linear(0.5152936751195577, 2, 1)","SquaredExponential(0.2507038945680242, 2, 1)",9,20.7047652379305,3.57196113033537,9.65337530665157,0.0706582875929358,1.4982927185395,"line",4,20.8,4
"SquaredExponential(0.3199424314241539, 2, 1)","Linear(0.5153399181206882, 3, 1)",10,21.0745420637626,4.00690702395796,5.29288051869908,1.23800774733045,0.899158761622867,"line",4,20.8,4
"Linear(0.48333828474759133, 1, 1)","Linear(0.9576081692527524, 3, 1)",11,20.6887047560133,3.00046531751786,7.81280784965339,0.305705351046545,1.04123935715153,"line",4,20.8,4
"Linear(0.5280772436284313, 3, 1)","Linear(0.7561711602605491, 3, 1)",12,20.9363025845677,3.27789974207012,7.56692220129494,0.561237772763696,0.70483233144136,"line",4,20.8,4
"SquaredExponential(0.724547731325242, 2, 1)","Linear(0.043074751680645264, 2, 1)",13,20.9975317237408,2.99366786680986,6.0063087666806,0.639012653416177,0.894943544863709,"line",4,20.8,4
"SquaredExponential(0.13037271363366942, 1, 1)","Linear(0.06194548617994086, 2, 1)",14,20.7609543976317,3.01578546572779,5.33723760096617,1.60995458659768,0.896824180012472,"line",4,20.8,4
"Linear(0.8401079529626694, 1, 1)","Constant(0.8727936362649545, 1)",15,21.926669996683,2.01958744220189,6.27003458763703,0.814375632294797,0.852834234291579,"line",4,20.8,4
"SquaredExponential(0.16322978800519566, 1, 1)","Linear(0.8797329251225217, 3, 1)",16,21.1070626109172,3.08086923636529,5.33621610468445,2.10443629825039,0.709363948999092,"line",4,20.8,4
"Constant(0.5900114303954314, 1)","Constant(0.5268009763261255, 1)",17,23.3467284128868,2.03615088801216,5.79711554946503,1.31971867372849,0.900785544392808,"line",4,20.8,4
"Linear(0.8004490319007634, 1, 1)","Constant(0.29162185617193265, 1)",18,21.850836041404,2.08238147750916,6.28078438081102,0.704356140175855,1.01381105202494,"line",4,20.8,4
"Linear(0.11354134293032558, 2, 1)","Linear(0.620345576555267, 1, 1)",19,22.0092148696134,3.59180417170779,6.95365864410044,0.861142323161238,0.639200623746245,"line",4,20.8,4
"Linear(0.6133895071566742, 3, 1)","SquaredExponential(0.9846663871137032, 2, 1)",20,21.3243233010555,3.22584122253211,6.64102757963109,0.537396636716972,0.939883222250578,"line",4,20.8,4
