"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"move_y(real(0.6897794782165158))",-2.58668426999063,1.16898472082522,1,23.540857951545,2.1313224605963,108.398813787003,178.890257436432,-29.720061910371,"line",140.808695491459,101.4223473828,2,23.4,2,0.0156785909038137,0.0152360422835232
"move_s(int(1))",-2.43032951251449,9.71782801544834,2,23.4205299149198,2.02613659002336,95.7070536891521,111.743654797143,-30.234814553178,"line",106.730787502109,100.510106730622,2,23.4,2,0.016250490719137,0.0155468226266846
"move()",1.6056922634669,1.04501687486144,3,23.3044288476997,1.99499913657833,134.993918803246,104.563177881123,-23.3796395082575,"line",121.088247690566,84.4691860879459,2,23.4,2,0.0141932484895003,0.0174044997114314
"move_t(real(5.420150593678097))",3.70485579657893,1.06275147776624,4,23.6313514826841,2.37702063849392,120.033287703444,62.5644611166066,-31.321939998453,"line",111.978329379824,124.442873968512,2,23.4,2,0.0209086219511913,0.0302152398608229
"move_s(real(0.7646642386293132))",-2.44953286013509,0.0652270083981086,5,23.7457450768894,1.81380046811541,101.607783179499,84.193854397304,-27.9083132851365,"line",79.6107902400606,67.1116849209,2,23.4,2,0.0328109940539139,0.0269989838226138
"repeat(move_t(real(1.681229756043018)), int(6))",3.35400745769052,0.990403412264703,6,23.2750338796039,1.77980103097008,56.2298737482705,187.304526782454,-36.9141993986099,"line",73.8003691014523,93.321332159996,2,23.4,2,0.0273670352935691,0.0202849252060939
"move_s(int(1))",1.48865374506912,2.55937211582682,7,23.5611114152388,2.1802257375183,101.01007317054,128.163041623704,-28.4437007822737,"line",68.5067204258792,78.7819097574648,2,23.4,2,0.0239581742774917,0.0216698962692892
"move_xy(real(-0.9282856104101366), real(0.7396481593305002))",-1.42927198398478,1.28652123052161,8,23.1774983975738,2.21311317894361,105.712356174634,70.9440634337984,-30.5120174115529,"line",88.1460895843419,74.5442127642448,2,23.4,2,0.0237969665383806,0.0284230169722607
"move()",-2.38368494277402,0.935782258950308,9,23.4356139049019,1.87001706638975,102.534129793971,59.1094403591061,-24.3539030941157,"line",146.115911045557,95.2162471335903,2,23.4,2,0.0135374842190718,0.0237426615982433
"move()",-2.33745791277853,1.00845030152279,10,23.2729980223989,1.83625358866068,59.3635255145933,63.7497285291777,-24.5792119143035,"line",67.6377074157895,110.890591396508,2,23.4,2,0.0279892027730312,0.0223420846201802
