"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.79263947698699,0.0075283411775647,7,27.639941772717,1.03476787468691,18.3995117016168,34.9628734363555,-18.758080166002,"line",53.0976059794214,68.3186964221478,2,23.4,2,0.412834230672129,0.0888089654194532
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.82503917691826,0.653804919063926,8,27.0972943828419,4.96502917095393,47.8002838813108,54.6923502971648,-24.2525111769803,"line",83.090890769493,66.2135439321009,2,23.4,2,0.287124409583035,0.258120900106934
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.62985654261557,2.85490439231852,9,25.6745763443089,5.20174156375171,15.9923454387818,15.3866667491563,-20.517417880889,"line",79.3060404853821,97.1310691506054,2,23.4,2,0.185800635446146,0.233002375934386
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.97355964885621,2.35586378273785,10,21.955802153748,-0.716613107328496,42.2808904858415,6.27136297544059,-22.8780615993298,"line",81.8232339735165,50.7857916494379,2,23.4,2,0.115933715561781,0.283395878108445
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.237519675398604,0.660675089900929,11,24.502052884361,0.664478177770624,1.11228620226102,11.3168773046962,-19.9557077501636,"line",69.6377478891225,66.5195508897868,2,23.4,2,0.207700340917019,0.129820648337729
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.86952047774145,5.17667761165823,12,26.4387831340204,-5.10364734320821,26.1749434407416,23.3869170674646,-22.390727529211,"line",33.3183005816003,24.3663505998902,2,23.4,2,0.373584800093389,1.00959697565662
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.79485480887374,0.502410067643229,13,20.3156426235017,-3.41767963076854,41.8758812644862,31.157707444652,-19.6162631117303,"line",79.152306379572,59.0153195719418,2,23.4,2,0.246016042122717,0.49803245581004
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.49182368621037,1.15160598330452,14,25.2771877980431,-1.37771975339318,27.7114608755549,24.2833743262633,-22.4992290303945,"line",47.0731603091714,102.795089195726,2,23.4,2,0.197677564233178,0.237271257598739
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.01136733019841,0.892155703331578,15,24.4203447461012,-0.635021946947818,9.29862642712696,39.0136131658765,-19.6761122319091,"line",35.8567204469581,74.2805379638685,2,23.4,2,0.14924772775102,0.217593242888986
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.38821297659221,1.65920012190297,16,28.0689846532019,-0.998129648570272,12.0218268573828,14.6638068822225,-18.7004997031005,"line",38.8544343226227,42.6010779557001,2,23.4,2,0.531646890121679,0.329441577805431
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.957500364819865,0.393481223676988,17,23.4201205231138,0.0899894415663305,24.185973731108,7.99241485049699,-19.2780796449157,"line",44.896393757297,25.3136539834058,2,23.4,2,0.0495425678353817,0.289311962794893
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.55480301663897,0.0799830505063088,18,20.5428384100439,0.474940807346584,8.82853352459087,21.4501213488905,-18.9732390855276,"line",45.4560518896035,45.8771751011611,2,23.4,2,0.308945428128796,0.166670232341824
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.42798504516222,2.67071251147339,19,26.6691386795622,4.46126313238269,34.177906848103,21.9876778151446,-20.483121715006,"line",53.2887478661429,59.5141390702683,2,23.4,2,0.31750286049608,0.229147220991496
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",3.76462514376359,8.0447437365801,20,30.8592005154276,1.4336031172393,29.7913285773463,10.3528930825935,-22.4611179765964,"line",40.6764168632105,46.0668645921979,2,23.4,2,0.823297242187291,0.0949963282349394
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.856649511931289,7.7686796350678,1,22.086724955836,2.49936040842435,53.9263898509345,16.9548781207473,-22.8035707930741,"line",54.1824670755558,63.894916445796,3,22.1,3,0.0301190104666124,0.0794170272186441
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.946069442187485,5.6021239135344,2,22.1416373867,2.907855170743,18.6274288231722,39.9036473170125,-18.5693606303613,"line",48.7398702950377,81.1820940033565,3,22.1,3,0.0542049215984674,0.0303907223420629
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.883037483018776,1.60740913027776,3,22.218481603576,2.83758925331636,51.0407125142452,30.9037786571684,-20.7003289384142,"line",51.9046011015876,18.7663805809794,3,22.1,3,0.0355180701549843,0.0757502989646775
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.915032427440281,1.6549097402173,4,22.1143782939535,2.77425558592173,28.4195648152815,26.1367644782588,-18.4348325163754,"line",48.1445141721341,110.473777679277,3,22.1,3,0.0439342955637783,0.0371540121509765
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.83184396704454,3.74719730839988,5,22.1418383036135,2.52764888208298,41.2126181312959,9.7973997119392,-19.0911204560766,"line",44.764705879417,51.543273157331,3,22.1,3,0.0382685874467176,0.0973230606443579
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.31165552743467,1.52185716401141,6,21.8274986318144,3.4680679977381,17.2189579332381,7.09470679095198,-18.1031257570664,"line",45.0548476885886,57.5386781366931,3,22.1,3,0.0707422865383519,0.101092179562447
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.889885020672968,1.73234022401467,7,22.0675898615295,2.59571949309189,23.9071061457877,14.5183304254488,-19.6858650298372,"line",89.9880645659823,104.919786641381,3,22.1,3,0.0353295569123473,0.0573790632983508
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.839021512848357,1.59446266985287,8,22.2937910729264,2.81850253880662,5.9322699892268,22.0306781699269,-16.8615510958125,"line",53.4599567243116,49.7491941444882,3,22.1,3,0.0949522390116338,0.0552729457310799
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.00407859530564,7.5084761920606,9,22.2201279992914,3.14886450579518,32.8002192571283,23.8226793329492,-19.8986269716742,"line",85.5417345788082,47.9215902581829,3,22.1,3,0.0333826776526796,0.0525463350421219
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.949430805604315,1.46492212034425,10,22.3612167100509,3.16006292737869,15.5468716034793,14.8689293930648,-16.8671438326011,"line",78.9983516252513,70.112646003594,3,22.1,3,0.0549163345705913,0.0538917993525147
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.01263855424683,1.55578472477914,11,22.1273303164919,3.06711619819073,11.4275847897437,15.7453838037808,-16.4094286068153,"line",86.8783855598996,70.8195630248423,3,22.1,3,0.0518377126827627,0.0494116561187441
