Unnamed: 0,func.name,tpt,model_pred_x,model_pred_y,model_std_x,model_std_y,model_posterior,model_particle,pred_x,pred_y,rt,true_x,true_y,trial_idx,correct,subj_id,acceptance_dist,prev_pt_buffer,min_x,max_x,min_y,max_y,prev_x,prev_y,id,r_id,min_bound_x,min_bound_y,max_bound_x,max_bound_y,range_x,range_y,range_xy,p_lapse,sd_motor,sd_prev,p_rand0,p_rand,p_prev,lik_x,lik_y,weighted_lik_x,weighted_lik_y,p_data_x,p_data_y,LL
100800,zigzag_widening,14,0.500474238348404,0.272035937697321,0.0021116194340221,0.001635951502271,0.0002806056041034,20,0.494315607084645,0.2674022544277,206.5,0.50237539534689,0.275813687387937,19,1,jr2opktjtb,3.22021990474752,1.20758246428032,0,1,0,0.682266606871626,0.414228730541975,0.392778679825076,5925,jr2opktjtb,-38.8404294082047,-29.2074983071678,22.9877927629476,12.9758330424493,61.8282221711523,42.1833313496171,61.8282221711523,0.15100739824265208,0.009340010320680398,0.08037603851399695,0.0,0.0,0.15100739824265208,33.87792356221355,37.337578763590905,0.009506335206943743,0.010477133844715705,35.409169043309774,32.21250463695252,7.03932551905198
35080,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.669853621628613,0.221440284103965,452.800000011921,0.673828125,0.21092497010248,16,1,gphp8blehl,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,3952,gphp8blehl,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.26426510216217525,0.008089030373706323,0.08544089552160443,0.08364938637758718,0.022105613636876346,0.24215948852529892,42.38896141680392,23.263014908648167,7.411625745194236e-06,4.067491970667256e-06,31.50717148406008,17.855997945600365,6.332554657225368
35120,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.656409597105973,0.218149787009133,527.800000071526,0.673828125,0.21092497010248,10,1,u7eacnuhw8,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,4402,u7eacnuhw8,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.1845130123600968,0.01137274582179039,0.09248084763728927,0.0,0.0,0.1845130123600968,10.205159689465413,29.56760548478398,1.7843519105017788e-06,5.169837115846336e-06,8.686033490358845,24.682450043280113,5.367808856304423
35140,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.655453524889079,0.218655866587555,360.29999999702,0.673828125,0.21092497010248,15,1,pzrazuao7z,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,4612,pzrazuao7z,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.20128387804776043,0.011939984159397432,0.07798163988231448,0.0,0.0,0.20128387804776043,9.637369724467428,27.922465462132617,1.6850749624052453e-06,4.882187649126951e-06,8.207538829197382,23.064018452530174,5.243326861716767
35160,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.649548115060179,0.228857053032624,868.90000000596,0.673828125,0.21092497010248,19,1,yfg9tsa32v,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,5047,yfg9tsa32v,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.3214396182562661,0.011997906837569823,0.06070393216257834,0.0,0.0,0.3214396182562661,3.9755144061334504,11.713508233603486,6.951108009739692e-07,2.048083658787271e-06,3.748184582818097,9.337552607092213,3.555315795916199
35180,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.635338333788057,0.222275044028203,914.100000143051,0.673828125,0.21092497010248,8,1,nwkn1dm9nn,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,5362,nwkn1dm9nn,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.23033059409709017,0.011029299729507709,0.08866894923461488,0.0,0.0,0.23033059409709017,0.07147589195153926,22.47480928374472,1.2497417800350829e-08,3.929675782046851e-06,0.735949241770138,18.03675326603898,2.58581739665315
35200,line,6,0.67428934814835,0.211515928510732,0.0004474219783973,0.0005571370745595,1.74848014612033e-07,20,0.656817765569378,0.220875908392593,157.399999976158,0.673828125,0.21092497010248,18,1,cfv5hmqdm2,1.6,0.6,0,1,0,0.682266606871627,0.716145833333333,0.178372886769147,6157,cfv5hmqdm2,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.29807865260442834,0.009409494289636996,0.08508427313428006,0.01624311301139946,0.00484172524053941,0.29323692736388896,7.583671342693508,25.850358556025892,1.3259898777401305e-06,4.519883870530308e-06,6.167818881730865,19.143369792647675,4.771301702398727
99040,zigzag_widening,10,0.53632728543448,0.334721550534907,0.0012495733300718,0.0017826963839359,0.0109106126503962,20,0.525452138159821,0.336282551770644,641.5,0.538325006235133,0.331980494337386,11,1,gphp8blehl,3.22021990474752,1.20758246428032,0,1,0,0.682266606871626,0.472380414007812,0.425420163186005,3206,gphp8blehl,-38.8404294082047,-29.2074983071678,22.9877927629476,12.9758330424493,61.8282221711523,42.1833313496171,61.8282221711523,0.26426510216217525,0.008089030373706323,0.08544089552160443,0.08364938637758718,0.022105613636876346,0.24215948852529892,20.162654212185515,47.31544889307288,0.21998691011303553,0.5162405352519359,26.394349235840895,24.279229510540706,6.4627711753291415
35220,line,7,0.63116172533095,0.243018659625596,0.0004498245532313,0.000534879120005,0.0008350097757879,20,0.617393862359144,0.261956523131701,725.10000000149,0.631510416666667,0.243477053435813,4,1,lw2cc8c6k7,1.6,0.6,0,1,0,0.682266606871627,0.673828125,0.21092497010248,368,lw2cc8c6k7,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.32228471456716024,0.012587367605989391,0.08163664857653331,0.0,0.0,0.32228471456716024,17.427788261359712,10.231596344990798,0.014552373568596969,0.008543482969983064,11.95794120836631,8.206852350017533,4.586365051684295
35240,line,7,0.63116172533095,0.243018659625596,0.0004498245532313,0.000534879120005,0.0008350097757879,20,0.60860484544695,0.26116613290532,184.699999988079,0.631510416666667,0.243477053435813,14,1,4lj0bpd5w5,1.6,0.6,0,1,0,0.682266606871627,0.673828125,0.21092497010248,833,4lj0bpd5w5,-2.5,-0.479615081548184,28.22,20.4796150815482,30.72,20.9592301630964,30.72,0.16143855879477162,0.010356805521502059,0.07681306916162739,0.0,0.0,0.16143855879477162,3.60710433544959,8.320939768069268,0.003011967382387324,0.00694806605008014,2.9908405906267785,7.636966380303513,3.128554935564836
