Unnamed: 0,func.name,tpt,model_pred_x,model_pred_y,model_std_x,model_std_y,model_posterior,model_particle,pred_x,pred_y,rt,true_x,true_y,trial_idx,correct,subj_id,acceptance_dist,prev_pt_buffer,min_x,max_x,min_y,max_y,prev_x,prev_y,id,r_id,range_x,range_y,range_xy,p_lapse,sd_motor,sd_prev,p_rand0,p_rand,p_prev,lik_x,lik_y,weighted_lik_x,weighted_lik_y,p_data_x,p_data_y,LL
107100,zigzag_1,12,0.436148877271669,0.353681780147243,0.0027381753481959,0.015704573591839,0.0480675344434958,20,0.447243941457646,0.434289980262042,446.0,0.447638895286221,0.446568444100838,12,1.0,4nkrou6g2j,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.470722091364443,0.374115808449025,4483,4nkrou6g2j,13.1508176555882,9.86311324169122,13.1508176555882,0.8651732606329193,1e-05,0.0922554783451075,0.0,0.0,0.8651732606329193,0.039648936146845955,4.8310040534302406e-05,0.0019058266038864836,2.322144537349259e-06,7.707390472327619,3.162796122998711,3.193636155546493
107140,zigzag_1,12,0.436148877271669,0.353681780147243,0.0027381753481959,0.015704573591839,0.0480675344434958,20,0.4589086091166,0.430371303737122,528.0,0.447638895286221,0.446568444100838,9,1.0,cfv5hmqdm2,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.470722091364443,0.374115808449025,5623,cfv5hmqdm2,13.1508176555882,9.86311324169122,13.1508176555882,0.7543767698984216,0.019854013007868862,0.09354213335116957,0.0040944949755686195,0.003088791894034772,0.7512879780043868,10.445696536222824,0.16017963551169487,0.5020988780411954,0.007699440147104996,6.822499316006478,3.1561754383695737,3.069586863620423
107260,zigzag_1,13,0.417448927820392,0.526981508696451,0.0023224950663019,0.0028250169289617,0.351388271348949,20,0.402355843653249,0.367256340795429,196.799999999814,0.412729429780355,0.379014409638234,9,1.0,p4j9zv8tlc,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.447638895286221,0.446568444100838,644,p4j9zv8tlc,13.1508176555882,9.86311324169122,13.1508176555882,0.6467332339247834,0.015530906595224303,0.08724736553694498,0.0,0.0,0.6467332339247834,16.007357787554966,1.4826583948906485e-21,5.6247977818330765,5.209887703816324e-22,6.884784061912459,1.9563162446194708,2.6003770059293725
107160,zigzag_1,12,0.436148877271669,0.353681780147243,0.0027381753481959,0.015704573591839,0.0480675344434958,20,0.440421513689883,0.43649808483473,1024.5,0.447638895286221,0.446568444100838,19,1.0,u7eacnuhw8,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.470722091364443,0.374115808449025,5668,u7eacnuhw8,13.1508176555882,9.86311324169122,13.1508176555882,0.6389447256626103,0.01931178279090693,0.09775146410203173,0.0,0.0,0.6389447256626103,19.96851522023748,0.06325722281455978,0.9598372931342353,0.0030406187364387404,9.095989018576484,2.6118118019983707,3.167877706683053
107180,zigzag_1,12,0.436148877271669,0.353681780147243,0.0027381753481959,0.015704573591839,0.0480675344434958,20,0.429492606649142,0.442916365433016,21.7999999970198,0.447638895286221,0.446568444100838,19,1.0,egs56uyq6o,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.470722091364443,0.374115808449025,5848,egs56uyq6o,13.1508176555882,9.86311324169122,13.1508176555882,0.6213831451773331,0.018590895381110837,0.09491065848622844,0.0,0.0,0.6213831451773331,19.939028815108546,0.019730229761725407,0.9584199543400853,0.0009483834986498219,7.898484024015494,2.347664699050844,2.920091934343712
107200,zigzag_1,12,0.436148877271669,0.353681780147243,0.0027381753481959,0.015704573591839,0.0480675344434958,20,0.44182824277104,0.440690540635262,469.100000143051,0.447638895286221,0.446568444100838,20,1.0,nwkn1dm9nn,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.470722091364443,0.374115808449025,6238,nwkn1dm9nn,13.1508176555882,9.86311324169122,13.1508176555882,0.6543512156038125,0.017130279359323774,0.09651651621027794,0.0,0.0,0.6543512156038125,21.796829199057328,0.015518116281264064,1.047719838284683,0.0007459175888478334,9.626556808467786,2.457803439815312,3.163793653846554
107220,zigzag_1,13,0.417448927820392,0.526981508696451,0.0023224950663019,0.0028250169289617,0.351388271348949,20,0.404128356587276,0.375391313227814,1312.29999999888,0.412729429780355,0.379014409638234,2,1.0,lw2cc8c6k7,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.447638895286221,0.446568444100838,194,lw2cc8c6k7,13.1508176555882,9.86311324169122,13.1508176555882,0.7605156137578774,0.015742150300458477,0.09438840661168951,0.0,0.0,0.7605156137578774,17.66051182034955,7.751961072648734e-19,6.20569671969031,2.7239482008823834e-19,6.173447648950756,2.4189069626516218,2.703573227837041
121720,zigzag_widening,4,0.55009415902422,0.432731495767497,0.0073422245740952,0.0087011738447149,0.0432653775635454,20,0.571165281486923,0.415879595425805,152.0,0.592249422567498,0.418641020896371,4,1.0,egs56uyq6o,3.22021990474752,1.20758246428032,0,1,0,0.750000000000001,0.559607939206569,0.476792704362209,1640,egs56uyq6o,61.8282221711523,46.3711666283643,61.8282221711523,0.6213831451773331,0.018590895381110837,0.09491065848622844,0.0,0.0,0.6213831451773331,11.45045121115444,13.875099624773183,0.4954080949235526,0.6003114239976188,6.7604167271741,2.4990148439823825,2.82698112599062
107240,zigzag_1,13,0.417448927820392,0.526981508696451,0.0023224950663019,0.0028250169289617,0.351388271348949,20,0.403091060985796,0.367898913951547,935.199999988079,0.412729429780355,0.379014409638234,8,1.0,4lj0bpd5w5,0.68493841956189,0.256851907335709,0,1,0,0.750000000000003,0.447638895286221,0.446568444100838,359,4lj0bpd5w5,13.1508176555882,9.86311324169122,13.1508176555882,0.665700263869155,0.015442402725028831,0.09691752764879089,0.0,0.0,0.665700263869155,16.740675080660736,1.278382973748527e-21,5.882476877807804,4.492087832674238e-22,6.741025982205828,1.9711142194078408,2.5868111126888502
110260,zigzag_2,5,0.655915034268733,0.375211597792724,0.0028580751298854,0.0101212951588277,0.0020824237758417,20,0.64167717436534,0.278965391696745,482.599999904633,0.646162106544871,0.309061488984995,2,1.0,cfv5hmqdm2,0.634675533314782,0.238003324993043,0,1,0,0.75,0.693337407140516,0.376209201953441,4686,cfv5hmqdm2,12.1857702396438,9.13932767973285,12.1857702396438,0.7543767698984216,0.019854013007868862,0.09354213335116957,0.0040944949755686195,0.003088791894034772,0.7512879780043868,15.459744120446256,0.0015941241396682125,0.03219373872484621,3.3196420100882804e-06,5.300196439551103,1.8843946622952483,2.30135051920198
