Unnamed: 0,func.name,tpt,model_pred_x,model_pred_y,model_std_x,model_std_y,model_posterior,model_particle,pred_x,pred_y,rt,true_x,true_y,trial_idx,correct,subj_id,acceptance_dist,prev_pt_buffer,min_x,max_x,min_y,max_y,prev_x,prev_y,id,r_id,range_x,range_y,range_xy,p_lapse,sd_motor,sd_prev,p_rand0,p_rand,p_prev,lik_x,lik_y,weighted_lik_x,weighted_lik_y,p_data_x,p_data_y,LL
126000,zigzag_widening,14,0.505236330884514,0.277645191425301,0.0084141872266319,0.0067394041658966,0.0022775184711346,20,0.494315607084645,0.26981257056251,206.5,0.50237539534689,0.278224003522748,19,1.0,jr2opktjtb,3.22021990474752,1.20758246428032,0,1,0,0.750000000000001,0.414228730541975,0.395188995959887,5925,jr2opktjtb,61.8282221711523,46.3711666283643,61.8282221711523,0.0,1e-05,1e-05,0.0,0.0,0.0,20.42242311355851,30.12864789759727,0.0465124458664557,0.06861855209708842,25.935472476916825,39.83434084778206,6.94034100100421
44680,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.669853621628613,0.254655939001485,452.800000011921,0.673828125,0.244140625,16,1.0,gphp8blehl,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,3952,gphp8blehl,30.72,23.04,30.72,0.17855924891562186,1e-05,0.004453127852022586,0.21857894049406684,0.03902929144339298,0.13952995747222888,7.762173312773901,9.5261318818814,0.017811739520959366,0.021859468074894344,10.24427882159527,10.056639226194626,4.634952421920158
44720,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.656409597105973,0.251365441906653,527.800000071526,0.673828125,0.244140625,10,1.0,u7eacnuhw8,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,4402,u7eacnuhw8,30.72,23.04,30.72,0.11321847346500799,1e-05,0.005062793291966906,0.01791358622439451,0.0020281488866097422,0.11119032457839824,6.866121284307986,10.110778559750482,0.015755582735333746,0.023201047799848582,9.051539870516832,11.749270359515604,4.666726036275609
44740,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.655453524889079,0.251871521485075,360.29999999702,0.673828125,0.244140625,15,1.0,pzrazuao7z,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,4612,pzrazuao7z,30.72,23.04,30.72,0.09883866234350923,1e-05,0.004860024229840248,0.05409966433027347,0.005347138455637089,0.09349152388787214,6.786991495554919,10.024793284929936,0.015574004828113008,0.023003738714360723,9.008612401011012,11.803863720899361,4.6666079650642995
44760,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.649548115060179,0.262072707930144,868.90000000596,0.673828125,0.244140625,19,1.0,yfg9tsa32v,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,5047,yfg9tsa32v,30.72,23.04,30.72,0.22622301410861625,0.002749318551186859,0.0357401648271728,0.0,0.0,0.22622301410861625,6.260239556468426,8.037118976455762,0.014365275268348002,0.018442653099745267,7.084766405656407,8.277871388216061,4.071532758960748
44780,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.635338333788057,0.255490698925723,914.100000143051,0.673828125,0.244140625,8,1.0,nwkn1dm9nn,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,5362,nwkn1dm9nn,30.72,23.04,30.72,0.0,1e-05,1e-05,0.0,0.0,0.0,4.868663647098598,9.369059353689716,0.011172047466986293,0.021499036164227686,5.207263489071379,11.89107634945471,4.1258427079679585
44800,line,6,0.685027818947301,0.232445608367182,0.0489882939917513,0.0337059531768649,0.0022946845945384,20,0.656817765569378,0.254091563290113,157.399999976158,0.673828125,0.244140625,18,1.0,cfv5hmqdm2,1.6,0.6,0,1,0,0.75,0.716145833333333,0.211588541666667,6157,cfv5hmqdm2,30.72,23.04,30.72,0.155948070980048,1e-05,0.00388448986137347,0.15756185807582673,0.024571467826957277,0.13137660315309074,6.899383454101345,9.630469537417104,0.01583190892393949,0.022098890085682377,8.713893612145796,10.474274914317165,4.513840961600245
124240,zigzag_widening,10,0.53898210363006,0.338734363269669,0.0076391745256825,0.010533466157656,0.0007884132174608,20,0.525452138159821,0.338692867905455,641.5,0.538325006235133,0.334390810472197,11,1.0,gphp8blehl,3.22021990474752,1.20758246428032,0,1,0,0.750000000000001,0.472380414007812,0.427830479320815,3206,gphp8blehl,61.8282221711523,46.3711666283643,61.8282221711523,0.17855924891562186,1e-05,0.004453127852022586,0.21857894049406684,0.03902929144339298,0.13952995747222888,10.881668783504853,37.873478599251285,0.00857925149694581,0.02985995111886846,11.826819383721691,27.41750933729891,5.781551617843407
44820,line,7,0.63293980671595,0.282199324230011,0.0313891790211285,0.0195248793401066,0.014568660899427,20,0.617393862359144,0.295172178029221,725.10000000149,0.631510416666667,0.276692708333333,4,1.0,lw2cc8c6k7,1.6,0.6,0,1,0,0.75,0.673828125,0.244140625,368,lw2cc8c6k7,30.72,23.04,30.72,0.19447440284140338,1e-05,0.06273304960097023,0.0,0.0,0.19447440284140338,11.24259911144349,16.385481142201613,0.1637896140828195,0.2387145184346911,9.482775110528848,9.82797334796435,4.534709749414999
44840,line,7,0.63293980671595,0.282199324230011,0.0313891790211285,0.0195248793401066,0.014568660899427,20,0.60860484544695,0.29438178780284,184.699999988079,0.631510416666667,0.276692708333333,14,1.0,4lj0bpd5w5,1.6,0.6,0,1,0,0.75,0.673828125,0.244140625,833,4lj0bpd5w5,30.72,23.04,30.72,0.11968129886399763,1e-05,0.005623718219667344,0.08191577510087264,0.009803786361523554,0.10987751250247407,9.410582680027803,16.818392198899478,0.137099587931346,0.2450214528193349,8.179494520331533,9.983125892365619,4.402526611074277
