"","X.1","X","r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","width","height","level","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","attempt_number","dist_from_prev","dist_from_true","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
"1",1,504,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:20 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"2",2,505,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:21 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"3",3,506,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:23 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,22.048371355133,2.98933157739022,1,1,69,2,0.085024356842041,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"4",4,507,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:26 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,19.3314341117687,3.42598220578806,1,1,115,65,1.61578869819641,2,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"5",5,508,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:28 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,18.5794246961946,6.94344560121511,0,1,152,89,0.0857031345367431,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"6",6,509,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:30 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,16.8328221826033,7.13751254716971,0,1,141,73,0.373248100280762,2,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"7",7,510,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:32 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,17.5120564934444,6.72512028701619,1,1,41,28,0.0441126823425293,3,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"8",8,511,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:34 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,15.8139707163416,6.48253660457295,1,1,50,63,1.37602782249451,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"9",9,512,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:37 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,13.4366506283978,6.21569455388538,0,1,116,120,1.03664946556091,4,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"10",10,513,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:39 2024",1536,864,1536,864,NA,10,14.3,9,13,10,12.7088995810681,9.66038284457946,1,1,71,18,0.248408079147339,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"11",11,514,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:42 2024",1536,864,1536,864,NA,11,13,10,11.7,11,12.3450240574032,9.39354079389189,0,1,37,71,1.16518783569336,5,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
