Unnamed: 0,func.name,tpt,model_pred_x,model_pred_y,model_std_x,model_std_y,model_posterior,model_particle,pred_x,pred_y,rt,true_x,true_y,trial_idx,correct,subj_id,acceptance_dist,prev_pt_buffer,min_x,max_x,min_y,max_y,prev_x,prev_y,id,r_id,min_bound_x,min_bound_y,max_bound_x,max_bound_y,range_x,range_y,range_xy,p_lapse,sd_motor,sd_prev,p_rand0,p_rand,p_prev,lik_x,lik_y,weighted_lik_x,weighted_lik_y,p_data_x,p_data_y,LL
81800,zigzag_1,3,0.702456724907857,0.231593195756723,0.0022308034815532,0.0061148983669554,0.0386905771722909,20,0.686226020644596,0.180688676913291,2569.70000000298,0.702692737700793,0.32153889867898,1,0,pzrazuao7z,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.725775933779015,0.249086263027167,2359,pzrazuao7z,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7509953125576538,0.01573547503506177,0.0914924228762895,0.0,0.0,0.7509953125576538,14.901518555234894,0.25068552874489664,0.5765483536456405,0.009699167795880972,7.325248447694019,6.716292468719558,3.895863358421316
82140,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.674588096496441,0.394481766664043,1319.70000000298,0.679609541622571,0.393991534330793,1,1,gphp8blehl,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,1430,gphp8blehl,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7061968342819853,0.006125634422542694,0.09508755029109024,0.02205796748984044,0.01557726681202027,0.690619567469965,0.1293704190393507,50.389203522190904,0.0027065287136710534,1.0541809109417934,13.700274087934792,14.563207063090264,5.29591412288838
82180,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.676064944456851,0.386773268881373,1890.0,0.679609541622571,0.393991534330793,0,1,jr2opktjtb,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,1550,jr2opktjtb,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.6953388190809524,0.0051793870767928045,0.09098099241531803,0.0,0.0,0.6953388190809524,0.07210083241163046,55.19682238637838,0.001508404893875358,1.1547599969255233,15.867775966902057,15.119299577255498,5.480262429428581
82200,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.669248091951897,0.24329478896762,856.69999999553,0.679609541622571,0.393991534330793,1,0,pzrazuao7z,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,2360,pzrazuao7z,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7509953125576538,0.01573547503506177,0.0914924228762895,0.0,0.0,0.7509953125576538,4.21284517178733,8.048081885680193e-18,0.08813596267493466,1.6837206585026026e-19,7.597720041451888,2.2716974582124214,2.848375538733254
82220,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.688045369194233,0.361482515420877,538.699999988079,0.679609541622571,0.393991534330793,1,1,ak2g4wy9vp,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,2435,ak2g4wy9vp,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7143736604280159,0.006606521746424498,0.08348811734754404,0.0,0.0,0.7143736604280159,16.340462270754973,0.013393619535665022,0.34185504428956515,0.0002802048267481973,10.439720192208368,3.543533403265297,3.6107421464369946
82240,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.670173936553712,0.395768979358478,348.400000002235,0.679609541622571,0.393991534330793,7,1,p8rr2wy859,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,3170,p8rr2wy859,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.6402500880324297,0.006012500545075494,0.0926324147120584,0.0,0.0,0.6402500880324297,0.010262275040806583,44.49626158924404,0.0002146946904228888,0.9308960312301066,11.940619143063277,16.025322069227254,5.25411606167644
82260,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.686042763216881,0.391251374248501,119.0,0.679609541622571,0.393991534330793,15,1,bnkjjr0y06,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,3455,bnkjjr0y06,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7153166600566091,0.012013526866320711,0.09333318666099125,0.0,0.0,0.7153166600566091,17.637019582363465,32.36545830877908,0.36898002091750004,0.6771102922468636,9.968578175022737,10.349549195980028,4.636380926294047
82280,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.687190545879493,0.38271201517955,1103.89999999106,0.679609541622571,0.393991534330793,11,1,yfg9tsa32v,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,3980,yfg9tsa32v,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.739186079816879,0.01211140060155607,0.08261323293110034,0.0,0.0,0.739186079816879,19.379629956611765,26.28205201723082,0.40543677084276303,0.5498407515955779,9.631302277683734,8.887378680922263,4.4496505925016425
82300,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.672644399123551,0.385289168612676,693.0,0.679609541622571,0.393991534330793,12,1,4nkrou6g2j,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,4475,4nkrou6g2j,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.7500648916714517,0.013340017086291664,0.09265217675874447,0.0,0.0,0.7500648916714517,4.30698029017134,27.174230634825726,0.0901053417861954,0.5685058147852509,8.66850824181966,8.627454588334043,4.314646228602577
82320,zigzag_1,4,0.699672946479328,0.39059423767482,0.0037952213352261,0.0026790484527741,0.0209207694754997,20,0.674492470189143,0.396874636983476,120.699999999953,0.679609541622571,0.393991534330793,17,1,3v29fd65wr,0.68493841956189,0.256851907335709,0,1,0,0.682266606871629,0.702692737700793,0.32153889867898,5375,3v29fd65wr,-10.4627229945855,-5.05246960381623,2.68809466100275,3.91989413564947,13.1508176555882,8.9723637394657,13.1508176555882,0.5390396514168558,0.010322600752466927,0.09432228208640764,0.0,0.0,0.5390396514168558,2.638337525764866,31.452713869261768,0.05519605117508701,0.6580149762376777,14.994234872452022,14.47646637614561,5.380190107767085
