Unnamed: 0,X.1,X,r_id,subj_id,func.name,game_n,min_distance,max_distance,correct_distance,Current_time,screen_w,screen_h,width,height,level,tpt,prev_x,prev_y,true_x,true_y,pred_x,pred_y,correct,attempt_number,dist_from_prev,dist_from_true,RT,total_correct,guess_number,func.type,mode,min_x,min_y,max_x,max_y,scale_by
21,21,510,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:32 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.6210937500000014,0.22074427951046002,1.0,1.0,41.0,28.0,0.0441126823425293,3.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
22,22,511,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:34 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.5755208333333325,0.2142338628437935,1.0,1.0,50.0,63.0,1.37602782249451,4.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
23,23,512,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:37 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.5117187499999991,0.20707240451046016,0.0,1.0,116.0,120.0,1.03664946556091,4.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
24,24,513,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:39 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.4921875,0.29952032117712696,1.0,1.0,71.0,18.0,0.248408079147339,5.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
25,25,514,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:42 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.48242187499999917,0.2923588628437936,0.0,1.0,37.0,71.0,1.16518783569336,5.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
26,26,515,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:44 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.4485677083333344,0.3073328211771268,0.0,1.0,50.0,89.0,0.126081705093384,5.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
27,27,516,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:46 2024,1536,864,1536,864,,13,0.43022167376285264,0.36231054007749675,9.1,13.0,0.35351562500000017,0.38675990451045916,1.0,1.0,124.0,64.0,0.12568736076355,6.0,11.0,line,test,0,0,1,0.618343321732261,37.26085362328241
28,28,517,33163470,BP24,line,43,0.6,2000,1.60105230412542,Tue Feb  6 13:17:49 2024,1536,864,1536,864,,14,0.3953325106442789,0.389148357861015,7.8,14.0,0.5143229166666657,0.3561609461771272,0.0,1.0,190.0,254.0,1.40442705154419,6.0,12.0,line,test,0,0,1,0.618343321732261,37.26085362328241
31,31,590,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:17 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.7460937500000014,0.09965052951046016,1.0,1.0,51.0,33.0,0.0430095195770263,1.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
32,32,591,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:20 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.791015624999999,0.09183802951046,0.0,1.0,85.0,152.0,1.24611616134644,1.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
33,33,592,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:22 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.6907552083333341,0.20837448784379353,1.0,1.0,98.0,58.0,0.208727598190308,2.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
34,34,593,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:25 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.6510416666666674,0.18103073784379348,1.0,1.0,37.0,36.0,1.36507487297058,3.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
35,35,594,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:28 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.12044270833333333,0.23702032117712665,0.0,1.0,799.0,744.0,1.2862765789032,3.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
36,36,595,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:29 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.5559895833333334,0.2669682378437934,1.0,1.0,96.0,28.0,0.0844292640686035,4.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
37,37,596,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:32 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.5852864583333333,0.2936609461771269,0.0,1.0,64.0,80.0,0.82882809638977,4.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
38,38,597,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:37 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.4720052083333322,0.2988692795104601,1.0,1.0,100.0,46.0,3.31696081161499,5.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
39,39,598,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:40 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.4680989583333335,0.29626511284379337,1.0,1.0,53.0,60.0,1.28416800498962,6.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
40,40,599,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:43 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.3899739583333334,0.29756719617712674,0.0,1.0,129.0,117.0,1.0002133846283,6.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
41,41,600,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:45 2024,1536,864,1536,864,,13,0.43022167376285264,0.36231054007749675,9.1,13.0,0.38802083333333354,0.4362390711771269,0.0,1.0,131.0,73.0,0.0439624786376953,6.0,11.0,line,test,0,0,1,0.618343321732261,37.26085362328241
42,42,601,1232483,BP24,line,7,0.6,2000,1.60105230412542,Fri Apr 12 11:15:54 2024,1536,864,1536,864,,14,0.3953325106442789,0.389148357861015,7.8,14.0,0.28515625000000017,0.3900151128437946,0.0,1.0,169.0,122.0,7.58359384536743,6.0,12.0,line,test,0,0,1,0.618343321732261,37.26085362328241
45,45,730,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:24 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.7272135416666684,0.1914474045104601,0.0,1.0,170.0,112.0,0.084451675415039,0.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
46,46,731,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:26 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.6510416666666674,0.1549890711771268,0.0,1.0,152.0,90.0,0.167195558547974,0.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
47,47,732,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:28 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.6555989583333348,0.16931198784379348,1.0,1.0,89.0,30.0,0.0854778289794921,1.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
48,48,733,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:51 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.5930989583333335,0.14717657117712662,0.0,1.0,132.0,110.0,21.3547561168671,1.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
49,49,734,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:53 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.568359375000001,0.23311407117712685,1.0,1.0,120.0,56.0,0.128907680511475,2.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
