Unnamed: 0,X,func_scale,pred_x,pred_y,rt,true_x,true_y,tpt,trial_idx,correct,func.name,subj_id,acceptance_dist,prev_pt_buffer,min_x,max_x,min_y,max_y,prev_x,prev_y,scale_by
4,3,298.181657880505,0.5730546271679915,0.4569128388238798,1684.20000004768,1.0,1.73205080756888,3,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.6600509000116871,0.3223724366098149,6.24801235061458
5,4,298.181657880505,0.4118824330322646,0.4520914484010173,4868.0,2.2204460492503099e-16,1.73205080756888,4,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.5800254500058435,0.4609805819184994,6.24801235061458
6,5,298.181657880505,0.35540328807871935,0.3253577572857441,227.099999964237,-0.5,0.866025403784439,5,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.41997454999415645,0.4609805819184994,6.24801235061458
7,6,298.181657880505,0.4201476737571737,0.18278235478106258,102.099999964237,-8.881784197001249e-16,0.0,6,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.33994909998831296,0.3223724366098149,6.24801235061458
8,7,298.181657880505,0.5806310978324916,0.18484866496228983,2546.10000002384,0.999999999999999,-1.1331077795296e-15,7,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.41997454999415634,0.1837642913011307,6.24801235061458
9,8,298.181657880505,0.6536407242358548,0.31915882674206225,109.299999952316,1.5,0.866025403784437,8,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.5800254500058434,0.1837642913011305,6.24801235061458
10,9,298.181657880505,0.577876017590855,0.45829037894469815,711.300000011921,1.0,1.73205080756888,9,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.6600509000116871,0.3223724366098145,6.24801235061458
11,10,298.181657880505,0.41670382345512824,0.4555352987030615,115.699999988079,1.33226762955019e-15,1.73205080756888,10,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.5800254500058435,0.4609805819184994,6.24801235061458
12,11,298.181657880505,0.3354289563268557,0.31984759680247143,111.399999976158,-0.499999999999999,0.866025403784438,11,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.4199745499941567,0.4609805819184994,6.24801235061458
13,12,298.181657880505,0.41808136357594644,0.18622620508310803,694.300000011921,2.1649348980190604e-15,-6.66133814775094e-16,12,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.3399490999883131,0.3223724366098147,6.24801235061458
14,13,298.181657880505,0.577876017590855,0.18347112484147168,565.599999964237,1.0,6.20364304966215e-16,13,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.41997454999415684,0.1837642913011306,6.24801235061458
15,14,298.181657880505,0.6563958044774915,0.3212251369232896,137.900000035763,1.5,0.86602540378444,14,0,1.0,hexagon,4lj0bpd5w5,0.268292827159945,0.100609810184979,0,1,0,0.6183433217322607,0.5800254500058435,0.1837642913011308,6.24801235061458
19,18,149.110890659918,0.6577283438336818,0.30951604589633547,1421.40000003576,0.0,0.0,3,1,0.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.5800362182613799,0.3091716608661309,12.49434345753606
20,19,149.110890659918,0.5068877006040908,0.3067609656546991,4392.39999997616,1.0,0.0,4,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.4199637817386201,0.3091716608661309,12.49434345753606
21,20,149.110890659918,0.5778310168262272,0.30607219559429,513.200000047684,2.0,0.0,5,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.5,0.3091716608661309,12.49434345753606
22,21,149.110890659918,0.41597005263009074,0.3046946554734718,2939.19999998808,0.0,0.0,6,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.5800362182613799,0.3091716608661309,12.49434345753606
23,22,149.110890659918,0.4986224598791817,0.31295989619838094,212.800000011921,1.0,0.0,7,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.4199637817386201,0.3091716608661309,12.49434345753606
24,23,149.110890659918,0.5812748671282723,0.3074497357151082,548.800000011921,2.0,0.0,8,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.5,0.3091716608661309,12.49434345753606
25,24,149.110890659918,0.41872513287172713,0.3012508051714264,755.100000023842,0.0,0.0,9,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.5800362182613799,0.3091716608661309,12.49434345753606
26,25,149.110890659918,0.4993112299395907,0.3074497357151082,212.600000023842,1.0,0.0,10,1,1.0,3_pts,4lj0bpd5w5,0.536513460860874,0.201192547822828,0,1,0,0.6183433217322618,0.4199637817386201,0.3091716608661309,12.49434345753606
