"func.name","tpt","true_x","true_y"
"zigzag_widening",14,0.50237539534689,0.275813687387937
"spiral_outward",10,0.477661127472683,0.179457573477123
"hexagon",11,0.296627093459477,0.341133303435814
"zigzag_1",12,0.447638895286221,0.413585939087627
"3_pts",11,0.597077402773385,0.341133303435813
"zigzag_widening",10,0.538325006235133,0.331980494337386
"zigzag_widening",6,0.574274617123376,0.388147301286836
"zigzag_3",14,0.399873188427373,0.420425861413589
"zigzag_1",11,0.470722091364443,0.341133303435814
"spiral_outward",11,0.60218054451899,0.179457573477123
"hexagon",10,0.393691435217454,0.509253674963859
"zigzag_widening",13,0.414228730541975,0.392778679825076
"spiral_outward",9,0.383218948235066,0.248073833130756
"hexagon",12,0.393691435217454,0.173012931907768
"3_pts",10,0.500000000000001,0.341133303435813
"hexagon",9,0.587820118733407,0.509253674963859
"spiral_outward",12,0.709215014321622,0.257222667751241
"zigzag_1",10,0.493805287442664,0.268680667784001
"3_pts",12,0.402922597226616,0.341133303435813
"spiral_outward",13,0.752503457318215,0.390450796111801
"zigzag_widening",5,0.53053209747365,0.458061646546933
"zigzag_widening",11,0.443304572274894,0.40909942150554
"hexagon",8,0.684884460491384,0.341133303435813
"zigzag_1",14,0.377819964274489,0.278477870162419
"3_pts",9,0.402922597226616,0.341133303435813
"spiral_outward",5,0.541974877344686,0.502809033394503
"hourglass_1",3,0.572276388096593,0.410124401164378
"spiral_outward",6,0.456367778125349,0.502809033394503
"hexagon",14,0.684884460491384,0.341133303435814
"zigzag_1",13,0.412729429780355,0.346031904625023
"hourglass_1",4,0.434294192639461,0.272142205707247
"spiral_outward",4,0.604936330169763,0.457064860292081
"zigzag_2",3,0.74051270773616,0.421318575135874
"spiral_outward",8,0.349550159237718,0.351695710744525
"hexagon",13,0.587820118733407,0.173012931907769
"spiral_outward",7,0.380814034735256,0.447916025671597
"f_curly_2",13,0.35124348035719,0.228491689358325
"square_2",7,0.55523110627056,0.631096611356254
"hexagon",3,0.587820118733407,0.509253674963859
"zigzag_1",7,0.586707414532618,0.331336101057397
"alternating_diff_1",3,0.281837130231287,0.312136972643769
"square_2",8,0.3619222343236,0.631096611356254
"3_pts",14,0.597077402773385,0.341133303435813
"f_curly_2",14,0.425734355154999,0.164492800747292
"hexagon",4,0.393691435217454,0.509253674963859
"square_2",6,0.748539978217521,0.631096611356254
"zigzag_1",8,0.563624218454396,0.40378873670921
"zigzag_1",6,0.60979061061084,0.258883465405584
"square_2",10,0.168613362376639,0.437787739409294
"alternating_diff_1",4,0.339829791815375,0.312136972643769
"square_2",9,0.168613362376639,0.631096611356254
"square_2",11,0.168613362376639,0.244478867462333
"square_2",3,0.748539978217521,0.0511699955153721
"hexagon",7,0.587820118733407,0.173012931907768
"3_pts",13,0.500000000000001,0.341133303435813
"zigzag_1",9,0.52871475294853,0.336234702246606
"spiral_outward",14,0.706810100821812,0.531080487159059
"hexagon",6,0.393691435217453,0.173012931907769
"square_2",4,0.748539978217521,0.244478867462333
"hexagon",5,0.296627093459477,0.341133303435814
"square_2",5,0.748539978217521,0.437787739409294
"hourglass_1",14,0.434294192639461,0.410124401164378
"zigzag_2",9,0.556618921272842,0.462391170641088
"sine",4,0.326022015247735,0.275707919312017
"3_pts",4,0.500000000000001,0.341133303435813
"zigzag_widening",7,0.501456255740731,0.441740904866469
"zigzag_2",8,0.570741549498303,0.381552592504238
"zigzag_3",13,0.405081751826085,0.375571019025989
"sine",5,0.355018346039779,0.258125549388636
"hourglass_1",13,0.572276388096593,0.272142205707247
"sine",3,0.297025684455691,0.353817293111835
"3_pts",3,0.402922597226616,0.341133303435813
"increasing_lines",3,0.421334540130122,0.312067632104098
"hourglass_1",12,0.434294192639461,0.272142205707247
"zigzag_2",7,0.584864177723765,0.300714014367388
"sine",6,0.384014676831823,0.317235333163996
"3_pts",5,0.597077402773385,0.341133303435813
"sine",7,0.413011007623868,0.398692008033766
"radial_increasing",12,0.519245040908108,0.43761326216497
"123",14,0.830078125,0.29296875
"increasing_lines",6,0.421334540130122,0.359266908026024
"zigzag_2",11,0.462268320081552,0.328095744704197
"zigzag_widening",9,0.472380414007812,0.425420163186005
"radial_increasing",11,0.509403123676272,0.400048864842124
"increasing_lines",5,0.515733091973974,0.312067632104098
"zigzag_2",10,0.509443620677197,0.395243457672642
"increasing_lines",7,0.468533816052048,0.359266908026024
"radial_increasing",10,0.499561206444437,0.362484467519278
"zigzag_2",12,0.415093019485908,0.260948031735752
"radial_increasing",14,0.489719289212601,0.324920070196432
"increasing_lines",4,0.468533816052048,0.312067632104098
"radial_increasing",13,0.529086958139943,0.475177659487815
"sine",13,0.586988992376133,0.378091312969811
"hourglass_1",7,0.572276388096593,0.410124401164378
"zigzag_2",4,0.693337407140516,0.354170862167429
"3_pts",7,0.500000000000001,0.341133303435813
"3_pts",8,0.597077402773385,0.341133303435813
"hourglass_1",6,0.434294192639461,0.410124401164378
"sine",14,0.615985323168177,0.427713341518878
"sine",12,0.557992661584088,0.294865468333417
"hourglass_1",8,0.434294192639461,0.272142205707247
"zigzag_2",5,0.646162106544871,0.287023149198984
"sine",11,0.528996330792044,0.25455326535275
"hourglass_1",5,0.572276388096593,0.272142205707247
"spiral_outward",3,0.626580551668059,0.390450796111801
"sine",9,0.471003669207956,0.377391177577354
"hourglass_1",10,0.434294192639461,0.410124401164378
"3_pts",6,0.402922597226616,0.341133303435813
"zigzag_2",6,0.598986805949226,0.219875436230538
"sine",8,0.442007338415912,0.427604682779381
"hourglass_1",11,0.572276388096593,0.410124401164378
