,tpt,func.type,x_next,y_next,next_is_repeat
0,0,sine,0.0,0.0,0
1,1,sine,1.0,2.5244129544236893,0
2,2,sine,2.0,2.727892280477045,0
3,3,sine,3.0,0.4233600241796016,0
4,4,sine,4.0,-2.2704074859237844,0
5,5,sine,5.0,-2.8767728239894153,0
6,6,sine,6.0,-0.8382464945967776,0
7,7,sine,7.0,1.9709597961563672,0
8,8,sine,8.0,2.9680747398701453,0
9,9,sine,9.0,1.2363554557252698,0
10,10,sine,10.0,-1.6320633326681093,0
11,11,sine,11.0,-2.9999706196521103,0
12,12,sine,12.0,-1.609718754001305,0
13,13,sine,13.0,1.2605011104799226,0
14,14,sine,14.0,2.971822067084611,0
15,15,sine,15.0,1.9508635204713505,0
16,16,sine,16.0,-0.8637099499951959,0
17,17,sine,17.0,-2.8841924756386703,0
18,18,sine,18.0,-2.252961740315028,0
19,19,sine,19.0,0.449631628988857,0
20,20,sine,20.0,2.738835752182883,0
21,0,sine_line,0.0,0.0,0
22,1,sine_line,1.0,3.5244129544236893,0
23,2,sine_line,2.0,4.727892280477045,0
24,3,sine_line,3.0,3.4233600241796016,0
25,4,sine_line,4.0,1.7295925140762156,0
26,5,sine_line,5.0,2.1232271760105847,0
27,6,sine_line,6.0,5.161753505403222,0
28,7,sine_line,7.0,8.970959796156368,0
29,8,sine_line,8.0,10.968074739870145,0
30,9,sine_line,9.0,10.23635545572527,0
31,10,sine_line,10.0,8.367936667331891,0
32,11,sine_line,11.0,8.00002938034789,0
33,12,sine_line,12.0,10.390281245998695,0
34,13,sine_line,13.0,14.260501110479922,0
35,14,sine_line,14.0,16.97182206708461,0
36,15,sine_line,15.0,16.95086352047135,0
37,16,sine_line,16.0,15.136290050004805,0
38,17,sine_line,17.0,14.11580752436133,0
39,18,sine_line,18.0,15.747038259684972,0
40,19,sine_line,19.0,19.449631628988858,0
41,20,sine_line,20.0,22.738835752182883,0
42,0,line,0.0,0.0,0
43,1,line,1.0,1.0,0
44,2,line,2.0,2.0,0
45,3,line,3.0,3.0,0
46,4,line,4.0,4.0,0
47,5,line,5.0,5.0,0
48,6,line,6.0,6.0,0
49,7,line,7.0,7.0,0
50,8,line,8.0,8.0,0
51,9,line,9.0,9.0,0
52,10,line,10.0,10.0,0
53,11,line,11.0,11.0,0
54,12,line,12.0,12.0,0
55,13,line,13.0,13.0,0
56,14,line,14.0,14.0,0
57,15,line,15.0,15.0,0
58,16,line,16.0,16.0,0
59,17,line,17.0,17.0,0
60,18,line,18.0,18.0,0
61,19,line,19.0,19.0,0
62,20,line,20.0,20.0,0
