"seq_id","tpt","true_x","true_y","in_kids"
"increasing_lines",2,1,1,TRUE
"zigzag_1",2,-0.918176030643386,-1.77678157823407,TRUE
"zigzag_2",2,-0.344190205470762,1.97016067935029,TRUE
"zigzag_3",2,-1.9866508950559,-0.230690747915048,TRUE
"stairs",2,-2.4616967350034,2.23640708364876,TRUE
"stairs_2",2,1.99621304080034,-0.123018274002975,TRUE
"growing_stairs_1",2,0.37962674807342,-1.76235170500874,FALSE
"growing_stairs_2",2,0.385014067039471,1.36079541746058,FALSE
"alternating_diff_1",2,1,1,TRUE
"alternating_diff_2",2,2,0,TRUE
"alternating_diff_3",2,1,2,FALSE
"sine",3,3,0.423360024179602,TRUE
"sine_line",3,3,3.4233600241796,FALSE
"line",3,3,3,FALSE
"spiral_inward",3,9.29375458210897,6.84412978874016,FALSE
"spiral_outward",3,2.76690686445303,2.46536861205107,TRUE
"triangle_1",3,-2.22044604925031e-16,3.33066907387547e-16,TRUE
"triangle_2",3,3,0,FALSE
"square_1",3,0,1,FALSE
"square_2",3,3,0,TRUE
"hexagon",3,1,1.73205080756888,TRUE
"octagon",3,1.70710678118655,1.70710678118655,FALSE
"star_octagon",3,0.292893218813452,-0.292893218813452,FALSE
"star_hexagon",3,-0.123489801858733,0.541044173064266,FALSE
"star_pentagon",3,0.5,-0.36327126400268,FALSE
"increasing_sine",3,3,1.3520077027293,FALSE
"radial_1",3,0.979112807317579,0.20331775757835,TRUE
"radial_2",3,0,0,FALSE
"plus",3,0,0,TRUE
"radial_increasing",3,0.998323242521852,0.0578852609966899,FALSE
"spiky_circle_1",3,5.5687907761773,2.83744062337217,FALSE
"spiky_circle_2",3,4.45503262094184,2.26995249869773,FALSE
"oval",3,3.53553390593274,1.76776695296637,FALSE
"zigzag_widening",3,-4.24086541420026,0.12272138623758,TRUE
"zigzag_increasing",3,2.35664504633425,-2.10860715297759,FALSE
"zigzag_increasing_widening",3,-1.61509096367577,-3.22358204161967,FALSE
"quadratic",3,-7,3.675,FALSE
"cubic",3,-7,1.715,FALSE
"gold_star",3,-2.17013218117904,1.05780595619296,FALSE
"2_pts",3,1,0,FALSE
"3_pts",3,0,0,TRUE
"square_spiral",3,-2,1,TRUE
"hexagon_spiral",3,-1.03153013000801,2.33809309488438,FALSE
"star_spiral",3,-4.24264068711929,-0.757359312880714,FALSE
"triangle_spiral",3,-3.5,0.86602540378444,FALSE
"f_curly_1",3,0.121826377277261,0.478073196887921,FALSE
"f_curly_2",3,-1.57055935733956,-1.32156131874234,TRUE
"hourglass_1",3,1,1,TRUE
"hourglass_2",3,0,1,FALSE
"3_lines_of_3",3,0,1,FALSE
"increasing_lines",3,0,2,TRUE
"zigzag_1",3,-1.22173893317627,-0.823970178110304,TRUE
"zigzag_2",3,-0.516285308206144,2.95524101902543,TRUE
"zigzag_3",3,-2.97997634258385,-0.346036121872572,TRUE
"stairs",3,-2.94538538301234,4.17703721115561,TRUE
"stairs_2",3,2.11923131480331,1.87319476679736,TRUE
"growing_stairs_1",3,-0.316958116369559,-2.479826113353,FALSE
"growing_stairs_2",3,1.2579188092895,1.84868609267114,FALSE
"alternating_diff_1",3,1,0,TRUE
"alternating_diff_2",3,3,-2,TRUE
"alternating_diff_3",3,2,3,FALSE
"sine",4,4,-2.27040748592378,TRUE
"sine_line",4,4,1.72959251407622,FALSE
"line",4,4,4,FALSE
"spiral_inward",4,8.17356797749979,10.2917096603101,FALSE
"spiral_outward",4,2.41926274578121,3.53530719288312,TRUE
"triangle_1",4,1,8.81375475580763e-17,TRUE
"triangle_2",4,2.5,0.866025403784439,FALSE
"square_1",4,-1.83697019872103e-16,2.22044604925031e-16,FALSE
"square_2",4,3,1,TRUE
"hexagon",4,2.22044604925031e-16,1.73205080756888,TRUE
"octagon",4,1,2.4142135623731,FALSE
"star_octagon",4,1,0.414213562373095,FALSE
"star_hexagon",4,0.5,-0.240787309403764,FALSE
"star_pentagon",4,0.809016994374948,0.587785252292473,FALSE
"increasing_sine",4,4,1.52924989323429,FALSE
"radial_1",4,0,0,TRUE
"radial_2",4,0.471873517881548,-0.881666253818355,FALSE
"plus",4,0.999367153498528,0.0355709503422214,TRUE
"radial_increasing",4,1.9966464850437,0.11577052199338,FALSE
"spiky_circle_1",4,4.04508497187474,2.93892626146237,FALSE
"spiky_circle_2",4,3.03381372890605,2.20419469609677,FALSE
"oval",4,2.5,2.1650635094611,FALSE
"zigzag_widening",4,-2.22270052896478,-3.47269381871476,TRUE
"zigzag_increasing",4,3.67141691679213,-1.58767056503941,FALSE
"zigzag_increasing_widening",4,2.47764775948225,-3.72307152495525,FALSE
"quadratic",4,-6,2.7,FALSE
"cubic",4,-6,1.08,FALSE
"gold_star",4,-3.0690303627657,1.49596352960713,FALSE
"2_pts",4,0,0,FALSE
"3_pts",4,1,0,TRUE
"square_spiral",4,-2,4.44089209850063e-16,TRUE
"hexagon_spiral",4,-1.95540966251929,1.95540966251929,FALSE
"star_spiral",4,-4.24264068711929,-5.75735931288071,FALSE
"triangle_spiral",4,-5,-1.73205080756888,FALSE
"f_curly_1",4,0.0100075033995546,-0.258879991940133,FALSE
